mcat,display_code,remarks,ORDER_ID,brand,vertical,division,grndate,Item alias,HSN code,Received Qty,Purchase rate,Selling,mrp,Item Discount,Batch No,Mfg date,status,GRN No,Taxable amount,Conversion Unit,GST Perc,cgst,sgst,igst,Supplier Name,,,Item name,Conversion Factor,EXPDATE,QTY in Pcs,Inv date,Item Net Amount,Qty in CLD,Supplier Payable,Discount%,Ship Name,cgstrate,sgstrate,igstrate,LD,LDP,CESS_AMT,CESS_PER,Branch,Inv No,Supplier Code,Supplier State,Supplier GST,Supplier Channel,companyid,SecondaryDiscountPercent,BaseSecondaryDiscount,Actual Purchase Rate,warehouse,WAREHOUSE ADDRESS,forwardscheme,tcs_per,tcs_amt,baseprimarydiscount,primarydiscountpercent
,,,,,,,,,,3872,45732.5,26163,,17923.59,,,,,711458.43,,,,,,,Item name,Hindi_Name,,,,12229,,782435.479999999,285.51,-3670734701.91997,,,,,,0,,0,,,,,,,,,0,0,45225.02,,,,,,,
Open,pal ak,pal ak,PO1AAA2526,ALOEVERA JUICE,JUICES & NATURAL BEVERAGES,FOOD,08-04-2025,180002657,30049011,1,149.55,149.55,210,215.35,PGD2500073,05-03-2025,,PI1AAA2526,1579.25,Carton,12,94.76,94.76,0,KANHA JI DISTRIBUTORS,ALOEVERA JUICE 1 L (FIBRE),एलोवेरा रस (फाइबर युक्त) 1 लीटर,ALOEVERA JUICE 1 L (FIBRE),12,30-11-2025,12,03-04-2025,1768.77,1,-10298287.24,0,,6,6,0,0,0,0,0,PATANJALI STORE,TI26AAA2526,100060,5,05AAECK5765H1ZE,,500875,0,0,149.55,Main Warehouse,ktm,0,0,0,0,0
Open,pal ak,pal ak,PO1AAA2526,MEDICATED JUICES,JUICES & NATURAL BEVERAGES,FOOD,08-04-2025,180002829,30049011,1,64.09,64.09,90,0,PFY2500003,07-03-2025,,PI1AAA2526,769.08,Carton,12,46.14,46.14,0,KANHA JI DISTRIBUTORS,GILOY JUICE 500 ML,गिलोय रस 500 मि.ली.,GILOY JUICE 500 ML,12,07-03-2026,12,03-04-2025,861.37,1,-10298287.24,0,,6,6,0,0,0,0,0,PATANJALI STORE,TI26AAA2526,100060,5,05AAECK5765H1ZE,,500875,0,0,64.09,Main Warehouse,ktm,0,0,0,0,0
Open,pal ak,pal ak,PO1AAA2526,GHEE,PHYSICAL OIL & GHEE,FOOD,08-04-2025,150000863,4059020,1,555.31,555.31,675,0,FAWC250088,17-03-2025,,PI1AAA2526,8329.65,Carton,12,499.78,499.78,0,KANHA JI DISTRIBUTORS,COWS GHEE 1 L - T,गाय का घी 1 लीटर,COWS GHEE 1 L - T,15,12-12-2025,15,03-04-2025,9329.21,1,-10298287.24,0,,6,6,0,0,0,0,0,PATANJALI STORE,TI26AAA2526,100060,5,05AAECK5765H1ZE,,500875,0,0,555.31,Main Warehouse,ktm,0,0,0,0,0
Open,pal ak,pal ak,PO1AAA2526,SESAME OIL,PHYSICAL OIL & GHEE,FOOD,08-04-2025,150000790,15155091,1,227.47,227.47,280,136.48,JACQ250023,24-02-2025,,PI1AAA2526,2593.16,Carton,5,64.83,64.83,0,KANHA JI DISTRIBUTORS,SESAME OIL 1 L (B)-T,तिल का तेल 1 लीटर,SESAME OIL 1 L (B)-T,12,21-11-2025,12,03-04-2025,2722.81,1,-10298287.24,0,,2.5,2.5,0,0,0,0,0,PATANJALI STORE,TI26AAA2526,100060,5,05AAECK5765H1ZE,,500875,0,0,227.47,Main Warehouse,ktm,0,0,0,0,0
Open,pal ak,pal ak,PO1AAA2526,BALM,SKIN CARE,NON FOOD,08-04-2025,180026266,30049011,6,213.64,213.64,300,0,ABLW250004,14-01-2025,,PI1AAA2526,1281.84,PCS,12,76.91,76.91,0,KANHA JI DISTRIBUTORS,BALM FAST RELIEF 25G DISPN.T.O(5+1)FREE,बाम फास्ट रिलीफ 25 ग्राम (डिस्पेंसर ट्रेड ऑफर 5+1 मुफ्त),BALM FAST RELIEF 25G DISPN.T.O(5+1)FREE,24,14-01-2028,6,03-04-2025,1435.66,0.25,-10298287.24,0,,6,6,0,0,0,0,0,PATANJALI STORE,TI26AAA2526,100060,5,05AAECK5765H1ZE,,500875,0,0,213.64,Main Warehouse,ktm,0,0,0,0,0
Open,pal ak,pal ak,PO1AAA2526,KESH KANTI SHAMPOO,HAIR CARE,NON FOOD,08-04-2025,180026317,33051090,12,79.42,79.42,120,0,ABTZ250002,26-02-2025,,PI1AAA2526,953.04,PCS,18,85.77,85.77,0,KANHA JI DISTRIBUTORS,KESH K. REETHA HAIR CLEANSER 180ML T.O.,केश कान्ति रीठा हेयर क्लींज़र 180 मि.ली. (ट्रेड ऑफर),KESH K. REETHA HAIR CLEANSER 180ML T.O.,36,26-02-2027,12,03-04-2025,1124.59,0.33,-10298287.24,0,,9,9,0,0,0,0,0,PATANJALI STORE,TI26AAA2526,100060,5,05AAECK5765H1ZE,,500875,0,0,86.33,Main Warehouse,ktm,0,0,0,0,0
Open,pal ak,pal ak,PO1AAA2526,KK HAIR OIL,HAIR CARE,NON FOOD,08-04-2025,180026258,33059019,12,59.3,59.3,100,0,ABHX250001,27-01-2025,,PI1AAA2526,711.6,PCS,18,64.04,64.04,0,KANHA JI DISTRIBUTORS,KESH KANTI ADV.H.HAIR EXPERTOIL-30ML T.O,केश कान्ति एडवांस हेयर एक्सपर्ट ऑयल 30 मि.ली. (ट्रेड ऑफर),KESH KANTI ADV.H.HAIR EXPERTOIL-30ML T.O,60,27-01-2027,12,03-04-2025,839.69,0.2,-10298287.24,0,,9,9,0,0,0,0,0,PATANJALI STORE,TI26AAA2526,100060,5,05AAECK5765H1ZE,,500875,0,0,69.76,Main Warehouse,ktm,0,0,0,0,0
Open,pal ak,pal ak,PO1AAA2526,KK HAIR OIL,HAIR CARE,NON FOOD,08-04-2025,180026201,33059019,12,245.56,245.56,400,0,AATV250002,24-02-2025,,PI1AAA2526,2946.72,PCS,18,265.2,265.2,0,KANHA JI DISTRIBUTORS,KESH KANTI ADVANCE H.HAIR EXPERTOIL100ML,केश कान्ति एडवांस हेयर एक्सपर्ट ऑयल 100 मि.ली.,KESH KANTI ADVANCE H.HAIR EXPERTOIL100ML,24,14-02-2027,12,03-04-2025,3477.13,0.5,-10298287.24,0,,9,9,0,0,0,0,0,PATANJALI STORE,TI26AAA2526,100060,5,05AAECK5765H1ZE,,500875,0,0,279.05,Main Warehouse,ktm,0,0,0,0,0
Open,pal ak,pal ak,PO1AAA2526,SKIN CARE,SKIN CARE,NON FOOD,08-04-2025,180026107,33049910,24,99.27,99.27,150,0,AAR2500001,09-01-2025,,PI1AAA2526,2382.48,PCS,18,214.42,214.42,0,KANHA JI DISTRIBUTORS,ANTI WRINKLE CREAM 50 G,एंटी रिंकल क्रीम 50 ग्राम,ANTI WRINKLE CREAM 50 G,96,09-01-2027,24,03-04-2025,2811.33,0.25,-10298287.24,0,,9,9,0,0,0,0,0,PATANJALI STORE,TI26AAA2526,100060,5,05AAECK5765H1ZE,,500875,0,0,107.9,Main Warehouse,ktm,0,0,0,0,0
Open,pal ak,pal ak,PO1AAA2526,SKIN CARE,SKIN CARE,NON FOOD,08-04-2025,180026369,33049910,24,31.08,31.08,45,0,AJG2400006,20-12-2024,,PI1AAA2526,745.92,PCS,18,67.13,67.13,0,KANHA JI DISTRIBUTORS,BOROSAFE ANTISEPTIC 50 GM CREAM,बोरोज़सेफ एंटीसेप्टिक क्रीम 50 ग्राम,BOROSAFE ANTISEPTIC 50 GM CREAM,96,10-12-2026,24,03-04-2025,880.19,0.25,-10298287.24,0,,9,9,0,0,0,0,0,PATANJALI STORE,TI26AAA2526,100060,5,05AAECK5765H1ZE,,500875,0,0,32.37,Main Warehouse,ktm,0,0,0,0,0
Open,pal ak,pal ak,PO1AAA2526,SWASARI PRAVAHI,NATURAL PERSONAL CARE,NON FOOD,08-04-2025,80868,30049011,20,60.08,60.08,85,0,BSSP250010,15-01-2025,,PI1AAA2526,1201.6,PCS,12,72.1,72.1,0,KANHA JI DISTRIBUTORS,DIVYA SWASARI PRAVAHI - 250 ML - T,दिव्य स्वासारी प्रवाही 250 मि.ली.,DIVYA SWASARI PRAVAHI - 250 ML - T,40,31-12-2027,20,03-04-2025,1345.79,0.5,-10298287.24,0,,6,6,0,0,0,0,0,PATANJALI STORE,TI26AAA2526,100060,5,05AAECK5765H1ZE,,500875,0,0,63.24,Main Warehouse,ktm,0,0,0,0,0
Non-Open,pal ak,pal ak,PO1AAA2526,HAIR OIL,HAIR CARE,NON FOOD,08-04-2025,180026208,33059019,24,45.2,45.2,60,0,AAVR240003,22-02-2025,,PI1AAA2526,1084.8,PCS,18,97.63,97.63,0,KANHA JI DISTRIBUTORS,KESH KANTI SARSON AMLA HAIR OIL 175 ML,केश कान्ति सरसों-आंवला हेयर ऑयल 175 मि.ली.,KESH KANTI SARSON AMLA HAIR OIL 175 ML,48,12-02-2027,24,03-04-2025,1280.06,0.5,-10298287.24,0,,9,9,0,0,0,0,0,PATANJALI STORE,TI26AAA2526,100060,5,05AAECK5765H1ZE,,500875,0,0,45.2,Main Warehouse,ktm,0,0,0,0,0
Open,pal ak,pal ak,PO1AAA2526,HAIR OIL,HAIR CARE,NON FOOD,08-04-2025,180026408,33059019,24,87.9,87.9,130,0,ABQQ250003,26-02-2025,,PI1AAA2526,2109.6,PCS,18,189.86,189.86,0,KANHA JI DISTRIBUTORS,KESH KANTI ALMOND HAIR OIL-200 ML,केश कान्ति बादाम हेयर ऑयल 200 मि.ली.,KESH KANTI ALMOND HAIR OIL-200 ML,48,26-02-2027,24,03-04-2025,2489.33,0.5,-10298287.24,0,,9,9,0,0,0,0,0,PATANJALI STORE,TI26AAA2526,100060,5,05AAECK5765H1ZE,,500875,0,0,93.51,Main Warehouse,ktm,0,0,0,0,0
Non-Open,,,PO58AAA2425,MEDICINE,JUICES & NATURAL BEVERAGES,FOOD,08-04-2025,1145,30049011,1,74.4,74.4,100,0,ABC2500004,06-02-2025,,PI2AAA2526,1488,Carton,12,89.28,89.28,0,KANHA JI DISTRIBUTORS,LOHASAV 450 ML,लोहासव 450 मि.ली.,LOHASAV 450 ML,20,16-12-2034,20,26-03-2025,1666.56,1,-10298287.24,0,,6,6,0,0,0,0,0,PATANJALI STORE,TI6786AAA2425,100060,5,05AAECK5765H1ZE,,500875,0,0,74.4,Main Warehouse,ktm,0,0,0,0,0
Open,,,PO58AAA2425,ATTA,FLOUR & SUGAR,FOOD,08-04-2025,180022362,11010000,1,192.2,192.2,225,0,PDBKQ25004,07-02-2025,,PI2AAA2526,1537.6,Carton,5,38.44,38.44,0,KANHA JI DISTRIBUTORS,TRADITIONAL WHOLE WHEAT ATTA 5 KG(UK),पारंपरिक गेहूं का आटा 5 किग्रा (यूके),TRADITIONAL WHOLE WHEAT ATTA 5 KG(UK),8,07-06-2025,8,26-03-2025,1614.48,1,-10298287.24,0,,2.5,2.5,0,0,0,0,0,PATANJALI STORE,TI6786AAA2425,100060,5,05AAECK5765H1ZE,,500875,0,0,192.2,Main Warehouse,ktm,0,0,0,0,0
Open,,,PO58AAA2425,ATTA,FLOUR & SUGAR,FOOD,08-04-2025,180002753,11010000,1,410.02,410.02,480,0,PDV4250011,19-03-2025,,PI2AAA2526,2050.1,Carton,5,51.25,51.25,0,KANHA JI DISTRIBUTORS,TRADITIONAL WHOLE WHEAT ATTA 10 KG,पारंपरिक गेहूं का आटा 10 किग्रा,TRADITIONAL WHOLE WHEAT ATTA 10 KG,5,17-07-2025,5,26-03-2025,2152.61,1,-10298287.24,0,,2.5,2.5,0,0,0,0,0,PATANJALI STORE,TI6786AAA2425,100060,5,05AAECK5765H1ZE,,500875,0,0,410.02,Main Warehouse,ktm,0,0,0,0,0
Open,,,PO58AAA2425,MEDICINE,JUICES & NATURAL BEVERAGES,FOOD,08-04-2025,81443,30049011,1,112.78,112.78,145,460.32,AJN250005,25-01-2025,,PI2AAA2526,1795.28,Carton,5,44.88,44.88,0,KANHA JI DISTRIBUTORS,DIVYA ARJUNARISHTA - 450ML,दिव्य अर्जुनारिष्ट 450 मि.ली.,DIVYA ARJUNARISHTA - 450ML,20,04-12-2034,20,26-03-2025,1885.05,1,-10298287.24,0,,2.5,2.5,0,0,0,0,0,PATANJALI STORE,TI6786AAA2425,100060,5,05AAECK5765H1ZE,,500875,0,0,115.08,Main Warehouse,ktm,0,0,0,0,0
Open,,,PO58AAA2425,MEDICINE,JUICES & NATURAL BEVERAGES,FOOD,08-04-2025,81435,30049011,1,124.44,124.44,160,507.94,DSM250002,20-02-2025,,PI2AAA2526,1980.86,Carton,5,49.52,49.52,0,KANHA JI DISTRIBUTORS,DIVYA DASHMULARISHTA - 450 ML,दिव्य दशमूलारिष्ट 450 मि.ली.,DIVYA DASHMULARISHTA - 450 ML,20,18-02-2035,20,26-03-2025,2079.91,1,-10298287.24,0,,2.5,2.5,0,0,0,0,0,PATANJALI STORE,TI6786AAA2425,100060,5,05AAECK5765H1ZE,,500875,0,0,126.98,Main Warehouse,ktm,0,0,0,0,0
Open,,,PO58AAA2425,SPICES,RICE/PULSES/SPICES,FOOD,08-04-2025,180002882,9109100,1,42.28,42.28,65,0,AFI2500006,19-02-2025,,PI2AAA2526,1268.4,Carton,5,31.71,31.71,0,KANHA JI DISTRIBUTORS,SABZI MASALA 100 GM (30 pcs),सब्जी मसाला 100 ग्राम (30 नग),SABZI MASALA 100 GM (30 pcs),30,19-02-2026,30,26-03-2025,1331.82,1,-10298287.24,0,,2.5,2.5,0,0,0,0,0,PATANJALI STORE,TI6786AAA2425,100060,5,05AAECK5765H1ZE,,500875,0,0,44.51,Main Warehouse,ktm,0,0,0,0,0
Open,,,PO58AAA2425,DALIA,FLOUR & SUGAR,FOOD,08-04-2025,180002974,11031900,1,27.62,27.62,34,0,PDCS250048,19-02-2025,,PI2AAA2526,828.6,Carton,5,20.72,20.72,0,KANHA JI DISTRIBUTORS,DALIA 500 G,दलिया 500 ग्राम,DALIA 500 G,30,19-06-2025,30,26-03-2025,870.03,1,-10298287.24,0,,2.5,2.5,0,0,0,0,0,PATANJALI STORE,TI6786AAA2425,100060,5,05AAECK5765H1ZE,,500875,0,0,27.62,Main Warehouse,ktm,0,0,0,0,0
Open,,,PO58AAA2425,AMLA JUICE,JUICES & NATURAL BEVERAGES,FOOD,08-04-2025,180002659,30049011,1,99.7,99.7,140,143.56,AGH2500038,25-02-2025,,PI2AAA2526,1052.84,Carton,12,63.17,63.17,0,KANHA JI DISTRIBUTORS,AMLA JUICE 1 L,आंवला रस 1 लीटर,AMLA JUICE 1 L,12,25-02-2026,12,26-03-2025,1179.18,1,-10298287.24,0,,6,6,0,0,0,0,0,PATANJALI STORE,TI6786AAA2425,100060,5,05AAECK5765H1ZE,,500875,0,0,99.7,Main Warehouse,ktm,0,0,0,0,0
