,,,,,,612.89,32126.68,,,,8811,91541.8000000001,,92277.8800000002,,,,,,,,,,,,80807.0800000001,0,0,,,0,,,,0,,,,,,1559555.34,,-8374331270.59986,,,,,,,1411909.38,,28011,,,,,,,,,
Item code,sgst,Item name,Hindi_Name,Item name,EXPDATE,Qty in CLD,Disc. Amount,Inv date,MFG DATE,Conversion Factor,Received Qty,Purchase rate,WAREHOUSE ADDRESS,Actual Purchase Rate,division,grndate,remarks,Order ID,Conversion unit,Supplier Code,Supplier Shipping Name,sgstrate,Inv No,Supplier State,Discount %,Selling,GST Cess Amt,Claim 1%,warehouse,cgstrate,liquidition Discount Amt,Batch,mcat,vertical,Claim Amount,GRN No,Branch,Supplier Channel,cgst,GST Cess Perc,Item Net Amount,Supplier GST,Supplier Payable,GST Perc,liquidition Discount %,display_code,HSN Code,status,igstrate,Taxable amount,brand,QTY in Pcs,mrp,igst,Supplier Name,companyid,forwardScheme,tcs_per,tcs_amt,BASEPRIMARYDISCOUNT,PRIMARYDISCOUNTPERCENT
180002673,187.88,APPLE VINEGAR 500 ML,सेब का सिरका 500 मि.ली.,APPLE VINEGAR 500 ML,05-09-2025,1,0,04-04-2024,14-03-2024,24,1,86.98,ktm,86.98,FOOD,10-04-2024,,,Carton,100060,,9,TI53AAA2425,5,0,86.98,0,0,Main Warehouse,9,0,AB52400009,Open,JUICES & NATURAL BEVERAGES,0,PI1AAA2425,PATANJALI STORE,,187.88,0,2463.27,05AAECK5765H1ZE,-10298287.24,18,0,,22090090,,0,2087.52,MEDICATED JUICES,24,130,0,KANHA JI DISTRIBUTORS,500875,0,0,0,0,0
180005515,64.44,DOODH BISCUIT 35 GM (200 PC),दूध बिस्किट 35 ग्राम (200 नग),DOODH BISCUIT 35 GM (200 PC),14-09-2024,1,0,04-04-2024,18-03-2024,200,1,3.58,ktm,3.58,BISCUIT & CONFFECTIONARY,10-04-2024,,,Carton,100060,,9,TI53AAA2425,5,0,3.58,0,0,Main Warehouse,9,0,CL24/BP1,Open,BISCUIT & CONFFECTIONARY,0,PI1AAA2425,PATANJALI STORE,,64.44,0,844.88,05AAECK5765H1ZE,-10298287.24,18,0,,19053100,,0,716,BISCUITS,200,5,0,KANHA JI DISTRIBUTORS,500875,0,0,0,0,0
73317,169.96,ALOEVERA KANTI BODY CLN.150G MNTHLY PACK,एलोवेरा कान्ति बॉडी क्लीन्ज़र 150 ग्राम मासिक पैक,ALOEVERA KANTI BODY CLN.150G MNTHLY PACK,07-02-2026,1,82,04-04-2024,08-02-2024,24,1,82.1,ktm,82.1,NON FOOD,10-04-2024,,,Carton,100060,,9,TI53AAA2425,5,0,82.1,0,0,Main Warehouse,9,0,AAUI240007,Open,HOME CARE,0,PI1AAA2425,PATANJALI STORE,,169.96,0,2228.31,05AAECK5765H1ZE,-10298287.24,18,0,,34011941,,0,1888.4,BODY CLEANSER,24,115,0,KANHA JI DISTRIBUTORS,500875,0,0,0,3.31,4
73316,183.78,HALDICHNDN KANTI BODYCLN.150G MNTHLY PAC,हल्दी-चंदन कान्ति बॉडी क्लीन्ज़र 150 ग्राम मासिक पैक,HALDICHNDN KANTI BODYCLN.150G MNTHLY PAC,22-01-2026,1,185.39,04-04-2024,23-01-2024,24,1,92.81,ktm,92.81,NON FOOD,10-04-2024,,,Carton,100060,,9,TI53AAA2425,5,0,92.81,0,0,Main Warehouse,9,0,AAUH240007,Open,HOME CARE,0,PI1AAA2425,PATANJALI STORE,,183.78,0,2409.62,05AAECK5765H1ZE,-10298287.24,18,0,,34011941,,0,2042.05,BODY CLEANSER,24,130,0,KANHA JI DISTRIBUTORS,500875,0,0,0,3.75,4
180005517,64.44,DOODH BISCUIT 70 GM (100 PC),दूध बिस्किट 70 ग्राम (100 नग),DOODH BISCUIT 70 GM (100 PC),09-09-2024,1,0,04-04-2024,13-03-2024,100,1,7.16,ktm,7.16,BISCUIT & CONFFECTIONARY,10-04-2024,,,Carton,100060,,9,TI53AAA2425,5,0,7.16,0,0,Main Warehouse,9,0,CG24/BP1,Open,BISCUIT & CONFFECTIONARY,0,PI1AAA2425,PATANJALI STORE,,64.44,0,844.88,05AAECK5765H1ZE,-10298287.24,18,0,,19053100,,0,716,BISCUITS,100,10,0,KANHA JI DISTRIBUTORS,500875,0,0,0,0,0
180003033,31.77,FORTIFIED SOYABEAN OIL 1 LTR (P) - T,फोर्टिफाइड सोयाबीन तेल 1 लीटर,FORTIFIED SOYABEAN OIL 1 LTR (P) - T,17-12-2024,1,0,04-04-2024,22-03-2024,12,1,105.91,ktm,105.91,FOOD,10-04-2024,,,Carton,100060,,2.5,TI53AAA2425,5,0,105.91,0,0,Main Warehouse,2.5,0,BR2B240017,Open,PHYSICAL OIL & GHEE,0,PI1AAA2425,PATANJALI STORE,,31.77,0,1334.47,05AAECK5765H1ZE,-10298287.24,5,0,,15079010,,0,1270.92,SOYABEAN OIL,12,125,0,KANHA JI DISTRIBUTORS,500875,0,0,0,0,0
150000790,82.16,SESAME OIL 1 L (B)-T,तिल का तेल 1 लीटर,SESAME OIL 1 L (B)-T,17-11-2024,1,0,04-04-2024,21-02-2024,12,1,273.88,ktm,273.88,FOOD,10-04-2024,,,Carton,100060,,2.5,TI53AAA2425,5,0,273.88,0,0,Main Warehouse,2.5,0,JACQ240015,Open,PHYSICAL OIL & GHEE,0,PI1AAA2425,PATANJALI STORE,,82.16,0,3450.89,05AAECK5765H1ZE,-10298287.24,5,0,,15155091,,0,3286.56,SESAME OIL,12,340,0,KANHA JI DISTRIBUTORS,500875,0,0,0,0,0
81700,139.3,HERBO WASH DETERGENT POWDER 1 KG-T,हर्बो वॉश डिटर्जेंट पाउडर 1 किग्रा,HERBO WASH DETERGENT POWDER 1 KG-T,20-02-2029,1,0,04-04-2024,22-02-2024,25,1,61.91,ktm,61.91,NON FOOD,10-04-2024,,,Carton,100060,,9,TI53AAA2425,5,0,61.91,0,0,Main Warehouse,9,0,BN52400009,Open,HOME CARE,0,PI1AAA2425,PATANJALI STORE,,139.3,0,1826.35,05AAECK5765H1ZE,-10298287.24,18,0,,34029011,,0,1547.75,DETERGENT POWDER,25,85,0,KANHA JI DISTRIBUTORS,500875,0,0,0,1.22,2
81692,114.71,HERBAL WASH DETERGENT POWDER 1 KG-T,हर्बल वॉश डिटर्जेंट पाउडर 1 किग्रा,HERBAL WASH DETERGENT POWDER 1 KG-T,06-02-2029,1,0,04-04-2024,08-02-2024,25,1,50.98,ktm,50.98,NON FOOD,10-04-2024,,,Carton,100060,,9,TI53AAA2425,5,0,50.98,0,0,Main Warehouse,9,0,BM92400015,Open,HOME CARE,0,PI1AAA2425,PATANJALI STORE,,114.71,0,1503.91,05AAECK5765H1ZE,-10298287.24,18,0,,34029011,,0,1274.5,DETERGENT POWDER,25,70,0,KANHA JI DISTRIBUTORS,500875,0,0,0,1.01,2
180003019,63.17,MUSTARD OIL 5 L (J)-T,सरसों का तेल 5 लीटर,MUSTARD OIL 5 L (J)-T,13-02-2025,1,0,04-04-2024,19-02-2024,4,1,631.67,ktm,631.67,FOOD,10-04-2024,,,Carton,100060,,2.5,TI53AAA2425,5,0,631.67,0,0,Main Warehouse,2.5,0,N3B2400005,Open,PHYSICAL OIL & GHEE,0,PI1AAA2425,PATANJALI STORE,,63.17,0,2653.01,05AAECK5765H1ZE,-10298287.24,5,0,,15149920,,0,2526.68,MUSTARD OIL,4,725,0,KANHA JI DISTRIBUTORS,500875,0,0,0,0,0
180003018,143.66,MUSTARD OIL 1 L (P)-T,सरसों का तेल 1 लीटर,MUSTARD OIL 1 L (P)-T,06-03-2025,4,0,04-04-2024,11-03-2024,12,4,119.72,ktm,119.72,FOOD,10-04-2024,,,Carton,100060,,2.5,TI53AAA2425,5,0,119.72,0,0,Main Warehouse,2.5,0,N2B2400018,Open,PHYSICAL OIL & GHEE,0,PI1AAA2425,PATANJALI STORE,,143.66,0,6033.89,05AAECK5765H1ZE,-10298287.24,5,0,,15149920,,0,5746.56,MUSTARD OIL,48,140,0,KANHA JI DISTRIBUTORS,500875,0,0,0,0,0
180003017,37.2,MUSTARD OIL 1 L (B)-T,सरसों का तेल 1 लीटर,MUSTARD OIL 1 L (B)-T,06-03-2025,1,0,04-04-2024,11-03-2024,12,1,124,ktm,124,FOOD,10-04-2024,,,Carton,100060,,2.5,TI53AAA2425,5,0,124,0,0,Main Warehouse,2.5,0,N1B2400030,Open,PHYSICAL OIL & GHEE,0,PI1AAA2425,PATANJALI STORE,,37.2,0,1562.4,05AAECK5765H1ZE,-10298287.24,5,0,,15149920,,0,1488,MUSTARD OIL,12,145,0,KANHA JI DISTRIBUTORS,500875,0,0,0,0,0
180022361,87.56,TRADITIONAL WHOLE WHEAT ATTA 10 KG(UK),पारंपरिक गेहूं का आटा 10 किग्रा (यूके),TRADITIONAL WHOLE WHEAT ATTA 10 KG(UK),15-06-2024,2,0,04-04-2024,16-02-2024,5,2,350.22,ktm,350.22,FOOD,10-04-2024,,,Carton,100060,,2.5,TI53AAA2425,5,0,350.22,0,0,Main Warehouse,2.5,0,PDBKP24005,Open,FLOUR & SUGAR,0,PI1AAA2425,PATANJALI STORE,,87.56,0,3677.31,05AAECK5765H1ZE,-10298287.24,5,0,,11010000,,0,3502.2,ATTA,10,410,0,KANHA JI DISTRIBUTORS,500875,0,0,0,0,0
180002863,32.59,TURMERIC POWDER 200 GM,हल्दी पाउडर 200 ग्राम,TURMERIC POWDER 200 GM,15-02-2025,1,83.21,04-04-2024,21-02-2024,30,1,46.23,ktm,46.23,FOOD,10-04-2024,,,Carton,100060,,2.5,TI53AAA2425,5,0,46.23,0,0,Main Warehouse,2.5,0,AJC2400008,Open,RICE/PULSES/SPICES,0,PI1AAA2425,PATANJALI STORE,,32.59,0,1368.88,05AAECK5765H1ZE,-10298287.24,5,0,,9103030,,0,1303.69,SPICES,30,68,0,KANHA JI DISTRIBUTORS,500875,0,0,0,0,0
73315,169.96,NEEM KANTI BODY CLNSR.150GM MONTHLY PACK,नीम कान्ति बॉडी क्लीन्ज़र 150 ग्राम मासिक पैक,NEEM KANTI BODY CLNSR.150GM MONTHLY PACK,27-02-2026,1,82,04-04-2024,28-02-2024,24,1,82.1,ktm,82.1,NON FOOD,10-04-2024,,,Carton,100060,,9,TI53AAA2425,5,0,82.1,0,0,Main Warehouse,9,0,AAUG240011,Open,HOME CARE,0,PI1AAA2425,PATANJALI STORE,,169.96,0,2228.31,05AAECK5765H1ZE,-10298287.24,18,0,,34011941,,0,1888.4,BODY CLEANSER,24,115,0,KANHA JI DISTRIBUTORS,500875,0,0,0,3.31,4
73400,235.71,KESH KANTI ADV. H.H. EXPERT SHAMPO-100ML,केश कान्ति एडवांस हेयर एक्सपर्ट शैम्पू 100 मि.ली.,KESH KANTI ADV. H.H. EXPERT SHAMPO-100ML,08-02-2026,1,462.21,04-04-2024,09-02-2024,36,1,85.59,ktm,85.59,NON FOOD,10-04-2024,,,Carton,100060,,9,TI53AAA2425,5,0,85.59,0,0,Main Warehouse,9,0,AAWT240002,Open,NATURAL PERSONAL CARE,0,PI1AAA2425,PATANJALI STORE,,235.71,0,3090.45,05AAECK5765H1ZE,-10298287.24,18,0,,33051090,,0,2619.03,KESH KANTI SHAMPOO,36,120,0,KANHA JI DISTRIBUTORS,500875,0,0,0,0,0
73201,526.09,KESH KANTI ADVANCE H.HAIR EXPERTOIL100ML,केश कान्ति एडवांस हेयर एक्सपर्ट ऑयल 100 मि.ली.,KESH KANTI ADVANCE H.HAIR EXPERTOIL100ML,31-12-2025,1,797.09,04-04-2024,11-01-2024,24,1,276.77,ktm,276.77,NON FOOD,10-04-2024,,,Carton,100060,,9,TI53AAA2425,5,0,276.77,0,0,Main Warehouse,9,0,AATV240002,Open,NATURAL PERSONAL CARE,0,PI1AAA2425,PATANJALI STORE,,526.09,0,6897.56,05AAECK5765H1ZE,-10298287.24,18,0,,33059019,,0,5845.39,KK HAIR OIL,24,400,0,KANHA JI DISTRIBUTORS,500875,0,0,0,0,0
180002738,27.19,PUSHTAHAR DALIA 500 G,पुष्टाहार दलिया 500 ग्राम,PUSHTAHAR DALIA 500 G,15-12-2024,1,0,04-04-2024,20-03-2024,30,1,36.25,ktm,36.25,FOOD,10-04-2024,,,Carton,100060,,2.5,TI53AAA2425,5,0,36.25,0,0,Main Warehouse,2.5,0,PDCQ240019,Open,FLOUR & SUGAR,0,PI1AAA2425,PATANJALI STORE,,27.19,0,1141.88,05AAECK5765H1ZE,-10298287.24,5,0,,11031900,,0,1087.5,DALIA,30,45,0,KANHA JI DISTRIBUTORS,500875,0,0,0,0,0
180002953,60.8,KHAND 1 KG,खांड 1 किग्रा,KHAND 1 KG,15-03-2025,1,0,04-04-2024,20-03-2024,30,1,81.07,ktm,81.07,FOOD,10-04-2024,,,Carton,100060,,2.5,TI53AAA2425,5,0,81.07,0,0,Main Warehouse,2.5,0,AARQ240011,Open,FLOUR & SUGAR,0,PI1AAA2425,PATANJALI STORE,,60.8,0,2553.71,05AAECK5765H1ZE,-10298287.24,5,0,,17011420,,0,2432.1,KHAND,30,100,0,KANHA JI DISTRIBUTORS,500875,0,0,0,0,0
73274,255.13,KESH KANTI REETHA HAIR CLEANSER 180 ML,केश कान्ति रीठा हेयर क्लींज़र 180 मि.ली.,KESH KANTI REETHA HAIR CLEANSER 180 ML,26-01-2026,1,246.51,04-04-2024,06-02-2024,36,1,85.59,ktm,85.59,NON FOOD,10-04-2024,,,Carton,100060,,9,TI53AAA2425,5,0,85.59,0,0,Main Warehouse,9,0,ABAB240002,Open,NATURAL PERSONAL CARE,0,PI1AAA2425,PATANJALI STORE,,255.13,0,3344.98,05AAECK5765H1ZE,-10298287.24,18,0,,33051090,,0,2834.73,KESH KANTI SHAMPOO,36,120,0,KANHA JI DISTRIBUTORS,500875,0,0,0,0,0
