table_name,column_name,data_type
stg_purchase_invoice_hindi,HSN code,varchar
stg_purchase_invoice_hindi,Received Qty,decimal
stg_purchase_invoice_hindi,mrp,decimal
stg_purchase_invoice_hindi,Batch No,varchar
stg_purchase_invoice_hindi,Mfg date,date
stg_purchase_invoice_hindi,GST Perc,decimal
stg_purchase_invoice_hindi,Supplier Name,varchar
stg_purchase_invoice_hindi,Item name,varchar
stg_purchase_invoice_hindi,Hindi_Name,varchar
stg_purchase_invoice_hindi,Item Net Amount,decimal
stg_purchase_invoice_hindi,cgstrate,decimal
stg_purchase_invoice_hindi,sgstrate,decimal
stg_purchase_invoice_hindi,igstrate,decimal
stg_purchase_invoice_hindi,Inv No,varchar
stg_purchase_invoice_hindi,Supplier GST,varchar
app_settings,setting_key,varchar
app_settings,setting_value,text
app_settings,created_at,timestamp
app_settings,updated_at,timestamp
invoice_series,id,int
invoice_series,inv_type,varchar
invoice_series,series_code,varchar
invoice_series,prefix,varchar
invoice_series,current_no,int
invoice_series,is_active,tinyint
inv_id_map,old_id,int
inv_id_map,new_id,int
bank_statements,id,int
bank_statements,account_code,varchar
bank_statements,statement_date,date
bank_statements,opening_balance,decimal
bank_statements,closing_balance,decimal
bank_statements,total_credits,decimal
bank_statements,total_debits,decimal
bank_statements,status,enum
bank_statements,created_at,timestamp
invoices,id,int
invoices,party_id,int
invoices,inv_type,enum
invoices,series_code,varchar
invoices,seq_no,int
invoices,invoice_no,varchar
invoices,external_sales_ref_no,varchar
invoices,external_supplier_invoice_no,varchar
invoices,invoice_date,date
invoices,place_of_supply,varchar
invoices,reverse_charge,tinyint
invoices,status,enum
invoices,itc_eligible,tinyint
purchase_invoice_staging,id,int
purchase_invoice_staging,item_name,varchar
purchase_invoice_staging,hindi_name,varchar
purchase_invoice_staging,exp_date,date
purchase_invoice_staging,invoice_date,date
purchase_invoice_staging,mfg_date,date
purchase_invoice_staging,quantity,decimal
purchase_invoice_staging,sgst_rate,decimal
purchase_invoice_staging,invoice_no,varchar
purchase_invoice_staging,cgst_rate,decimal
purchase_invoice_staging,batch_no,varchar
purchase_invoice_staging,taxable_amount,decimal
purchase_invoice_staging,supplier_gstin,varchar
purchase_invoice_staging,total_gst_rate,decimal
purchase_invoice_staging,hsn_code,varchar
purchase_invoice_staging,igst_rate,decimal
purchase_invoice_staging,mrp,decimal
purchase_invoice_staging,igst_amount,decimal
purchase_invoice_staging,supplier_name,varchar
purchase_invoice_staging,data_source,varchar
items,id,int
items,canonical_name,varchar
items,hsn,varchar
items,is_SSC_PAYABLE,tinyint
items,is_active,tinyint
items,is_prepackaged_labelled,tinyint
items,track_cogs,tinyint
items,inventory_account,varchar
items,cogs_account,varchar
parties,id,int
parties,name,varchar
parties,gstin,varchar
parties,party_type,enum
parties,city,varchar
parties,state,varchar
parties,state_code,varchar
bank_reconciliation,id,int
bank_reconciliation,bank_account_code,varchar
bank_reconciliation,statement_date,date
bank_reconciliation,statement_balance,decimal
bank_reconciliation,book_balance,decimal
bank_reconciliation,reconciled_balance,decimal
bank_reconciliation,status,enum
bank_reconciliation,reconciled_at,timestamp
bank_reconciliation,reconciled_by,varchar
bank_reconciliation,created_at,timestamp
journal_entries,id,int
journal_entries,entry_date,date
journal_entries,description,varchar
journal_entries,amount,decimal
journal_entries,reference_no,varchar
journal_entries,notes,text
journal_entries,source_type,varchar
journal_entries,source_id,int
journal_entries,created_at,timestamp
journal_entries,updated_at,timestamp
journal_entries,created_by,varchar
journal_entries,source,varchar
journal_entries,status,varchar
gst_rate_rules,id,int
gst_rate_rules,priority,int
gst_rate_rules,hsn_chapter,varchar
gst_rate_rules,hsn_start,varchar
gst_rate_rules,hsn_end,varchar
gst_rate_rules,description,varchar
gst_rate_rules,condition_type,enum
gst_rate_rules,threshold_value,decimal
gst_rate_rules,intra_rate_percent,decimal
gst_rate_rules,inter_rate_percent,decimal
gst_rate_rules,effective_from,date
gst_rate_rules,effective_to,date
gst_rate_rules,notification_ref,varchar
inventory_movements,id,int
inventory_movements,item_id,int
inventory_movements,movement_type,enum
inventory_movements,movement_date,date
inventory_movements,qty,decimal
inventory_movements,unit_cost,decimal
inventory_movements,total_cost,decimal
inventory_movements,source_type,varchar
inventory_movements,source_id,int
inventory_movements,notes,text
inventory_movements,created_at,timestamp
v_customer_suggestions,id,int
v_customer_suggestions,label,varchar
v_customer_suggestions,name,varchar
v_customer_suggestions,gstin,varchar
v_customer_suggestions,city,varchar
v_customer_suggestions,party_type,enum
organization_config,id,int
organization_config,org_name,varchar
organization_config,org_state_code,varchar
organization_config,org_gstin,varchar
organization_config,org_address,text
organization_config,created_at,timestamp
organization_config,updated_at,timestamp
staging_purchase_invoice,id,int
staging_purchase_invoice,HSN_code,varchar
staging_purchase_invoice,Received_Qty,varchar
staging_purchase_invoice,mrp,varchar
staging_purchase_invoice,Batch_No,varchar
staging_purchase_invoice,Mfg_date,varchar
staging_purchase_invoice,GST_Perc,varchar
staging_purchase_invoice,Supplier_Name,varchar
staging_purchase_invoice,Item_name,varchar
staging_purchase_invoice,Hindi_Name,varchar
staging_purchase_invoice,Item_Net_Amount,varchar
staging_purchase_invoice,cgstrate,varchar
staging_purchase_invoice,sgstrate,varchar
staging_purchase_invoice,igstrate,varchar
inventory_valuations,id,int
inventory_valuations,item_id,int
inventory_valuations,valuation_date,date
inventory_valuations,qty_on_hand,decimal
inventory_valuations,unit_cost,decimal
inventory_valuations,total_value,decimal
inventory_valuations,valuation_method,enum
inventory_valuations,created_at,timestamp
invoice_items,id,int
invoice_items,invoice_id,int
invoice_items,item_id,int
invoice_items,description,varchar
invoice_items,description_en,varchar
invoice_items,hsn,varchar
invoice_items,quantity,decimal
invoice_items,rate,decimal
invoice_items,discount_percent,decimal
invoice_items,discount_amount,decimal
invoice_items,taxable_amount,decimal
invoice_items,cgst_rate,decimal
invoice_items,sgst_rate,decimal
invoice_items,igst_rate,decimal
invoice_items,cgst_amount,decimal
invoice_items,sgst_amount,decimal
invoice_items,igst_amount,decimal
invoice_items,line_total,decimal
invoice_items,itc_eligible,tinyint
invoice_items,is_prepackaged_labelled,tinyint
payments,id,int
payments,party_id,int
payments,pay_date,date
payments,amount,decimal
payments,mode,enum
payments,ref_no,varchar
gst_rates,id,tinyint
gst_rates,cgst,decimal
gst_rates,sgst,decimal
gst_rates,igst,decimal
gst_rates,total_rate,decimal
bank_reconciliation_items,id,int
bank_reconciliation_items,reconciliation_id,int
bank_reconciliation_items,journal_line_id,int
bank_reconciliation_items,transaction_date,date
bank_reconciliation_items,description,varchar
bank_reconciliation_items,amount,decimal
bank_reconciliation_items,type,enum
bank_reconciliation_items,is_reconciled,tinyint
bank_reconciliation_items,created_at,timestamp
gst_hsn_rates,hsn,varchar
gst_hsn_rates,gst_rate,decimal
purchase_staging,invoice_no,varchar
purchase_staging,invoice_date,date
purchase_staging,supplier,varchar
purchase_staging,item_desc,varchar
purchase_staging,hsn,varchar
purchase_staging,qty_received,decimal
purchase_staging,net_value,decimal
purchase_staging,gst_percent,decimal
purchase_staging,rate_calc,decimal
purchase_staging,source_file,varchar
journals,id,int
journals,voucher_no,varchar
journals,voucher_date,date
journals,narration,varchar
journals,created_at,timestamp
uqc,id,tinyint
uqc,code,varchar
uqc,name,varchar
accounts,id,int
accounts,code,varchar
accounts,name,varchar
accounts,account_type,enum
accounts,parent_code,varchar
accounts,is_active,tinyint
accounts,description,text
accounts,created_at,timestamp
accounts,updated_at,timestamp
users,id,int
users,username,varchar
users,password_hash,varchar
users,is_active,tinyint
purchase_invoice_staging_reverse,id,int
purchase_invoice_staging_reverse,item_name,varchar
purchase_invoice_staging_reverse,hindi_name,varchar
purchase_invoice_staging_reverse,exp_date,date
purchase_invoice_staging_reverse,invoice_date,date
purchase_invoice_staging_reverse,mfg_date,date
purchase_invoice_staging_reverse,quantity,decimal
purchase_invoice_staging_reverse,invoice_no,varchar
purchase_invoice_staging_reverse,batch_no,varchar
purchase_invoice_staging_reverse,supplier_gstin,varchar
purchase_invoice_staging_reverse,hsn_code,varchar
purchase_invoice_staging_reverse,supplier_name,varchar
purchase_invoice_staging_reverse,data_source,varchar
purchase_invoice_staging_reverse,item_net_amount_gross,decimal
purchase_invoice_staging_reverse,cgst_rate,decimal
purchase_invoice_staging_reverse,sgst_rate,decimal
purchase_invoice_staging_reverse,igst_rate,decimal
purchase_invoice_staging_reverse,total_gst_rate,decimal
purchase_invoice_staging_reverse,calculated_taxable_amount,decimal
purchase_invoice_staging_reverse,calculated_rate,decimal
