int,int,int,varchar,varchar,varchar,decimal,decimal,decimal,decimal,decimal,decimal,decimal,decimal,decimal,decimal,decimal,decimal,tinyint,tinyint
id,invoice_id,item_id,description,description_en,hsn,quantity,rate,discount_percent,discount_amount,taxable_amount,cgst_rate,sgst_rate,igst_rate,cgst_amount,sgst_amount,igst_amount,line_total,itc_eligible,is_prepackaged_labelled
1,116,279,लौहासव 450 एमएल,लौहासव 450 एमएल,30049011,20.000,74.40,0.00,0.00,1488.00,6.00,6.00,0.00,89.28,89.28,0.00,1666.56,1,0
2,116,248,पारम्परिक गेहूँ का आटा 5 किलो (यूके),पारम्परिक गेहूँ का आटा 5 किलो (यूके),11010000,8.000,192.20,0.00,0.00,1537.60,2.50,2.50,0.00,38.44,38.44,0.00,1614.48,1,0
3,116,245,पारम्परिक गेहूँ का आटा 10 किलो,पारम्परिक गेहूँ का आटा 10 किलो,11010000,5.000,410.02,0.00,0.00,2050.10,2.50,2.50,0.00,51.25,51.25,0.00,2152.60,1,0
4,116,109,दिव्य अर्जुनारिष्ट 450 एमएल,दिव्य अर्जुनारिष्ट 450 एमएल,30049011,20.000,89.76,0.00,0.00,1795.20,2.50,2.50,0.00,44.88,44.88,0.00,1884.96,1,0
5,116,117,दिव्य दशमूलारिष्ट 450 एमएल,दिव्य दशमूलारिष्ट 450 एमएल,30049011,20.000,99.04,0.00,0.00,1980.80,2.50,2.50,0.00,49.52,49.52,0.00,2079.84,1,0
6,116,262,सब्जी मसाला 100 ग्राम,सब्जी मसाला 100 ग्राम,9109100,30.000,42.28,0.00,0.00,1268.40,2.50,2.50,0.00,31.71,31.71,0.00,1331.82,1,0
7,116,96,दलिया 500 ग्राम,दलिया 500 ग्राम,11031900,30.000,27.62,0.00,0.00,828.60,2.50,2.50,0.00,20.72,20.72,0.00,870.04,1,0
8,116,62,आँवला जूस 1 लीटर,आँवला जूस 1 लीटर,30049011,12.000,87.74,0.00,0.00,1052.88,6.00,6.00,0.00,63.17,63.17,0.00,1179.22,1,0
9,116,184,करेला-जामुन जूस 500 एमएल,करेला-जामुन जूस 500 एमएल,30049011,12.000,106.82,0.00,0.00,1281.84,6.00,6.00,0.00,76.91,76.91,0.00,1435.66,1,0
