int,varchar,varchar,tinyint,tinyint,tinyint,tinyint,varchar,varchar
id,canonical_name,hsn,is_SSC_PAYABLE,is_active,is_prepackaged_labelled,track_cogs,inventory_account,cogs_account
2,आस्था अष्टगंध 25 ग्राम,NULL,1,1,0,1,1200,5100
3,आस्था बैकफ्लो धूप कोन बुद्ध 160 ग्राम,NULL,1,1,0,1,1200,5100
4,आस्था बैकफ्लो धूप कोन गुगल 160 ग्राम,NULL,1,1,0,1,1200,5100
5,आस्था बैकफ्लो धूप कोन लोबान 160 ग्राम,NULL,1,1,0,1,1200,5100
6,आस्था बैकफ्लो धूप कोन वृन्दावन 160 ग्राम,NULL,1,1,0,1,1200,5100
7,आस्था भीमसेनी कपूर 25 ग्राम,NULL,1,1,0,1,1200,5100
8,आस्था भीमसेनी कपूर 200 ग्राम,NULL,1,1,0,1,1200,5100
9,आस्था बुके कोन धूप 200 ग्राम,NULL,1,1,0,1,1200,5100
10,आस्था कपूर 25 ग्राम,NULL,1,1,0,1,1200,5100
