int,date,varchar,decimal,varchar,text,varchar,int,timestamp,timestamp,varchar,varchar,varchar
id,entry_date,description,amount,reference_no,notes,source_type,source_id,created_at,updated_at,created_by,source,status
1,2025-03-01,NULL,2383.40,MSWP2203426,NO BOOK DEPOSIT TRANSFER MSWP2203426 MSWIPE TECHNOLOGIES PRIVATE LIMITED,NULL,NULL,2025-09-20 10:00:36,2025-09-20 10:00:36,NULL,BANK,posted
2,2025-03-01,NULL,453.00,MSWP2208140,NO BOOK DEPOSIT TRANSFER MSWP2208140 MSWIPE TECHNOLOGIES PRIVATE LIMITED,NULL,NULL,2025-09-20 10:00:36,2025-09-20 10:00:36,NULL,BANK,posted
3,2025-03-03,NULL,1155.00,MSWP2212655,NO BOOK DEPOSIT TRANSFER MSWP2212655 MSWIPE TECHNOLOGIES PRIVATE LIMITED,NULL,NULL,2025-09-20 10:00:36,2025-09-20 10:00:36,NULL,BANK,posted
4,2025-03-03,NULL,3344.00,MSWP2217195,NO BOOK DEPOSIT TRANSFER MSWP2217195 MSWIPE TECHNOLOGIES PRIVATE LIMITED,NULL,NULL,2025-09-20 10:00:36,2025-09-20 10:00:36,NULL,BANK,posted
5,2025-03-03,NULL,1510.00,MSWP2221724,NO BOOK DEPOSIT TRANSFER MSWP2221724 MSWIPE TECHNOLOGIES PRIVATE LIMITED,NULL,NULL,2025-09-20 10:00:36,2025-09-20 10:00:36,NULL,BANK,posted
6,2025-03-04,NULL,1769.00,MSWP2227193,NO BOOK DEPOSIT TRANSFER MSWP2227193 MSWIPE TECHNOLOGIES PRIVATE LIMITED,NULL,NULL,2025-09-20 10:00:36,2025-09-20 10:00:36,NULL,BANK,posted
7,2025-03-04,NULL,345.00,MSWP2231631,NO BOOK DEPOSIT TRANSFER MSWP2231631 MSWIPE TECHNOLOGIES PRIVATE LIMITED,NULL,NULL,2025-09-20 10:00:36,2025-09-20 10:00:36,NULL,BANK,posted
8,2025-03-05,NULL,270.00,MSWP2236374,NO BOOK DEPOSIT TRANSFER MSWP2236374 MSWIPE TECHNOLOGIES PRIVATE LIMITED,NULL,NULL,2025-09-20 10:00:36,2025-09-20 10:00:36,NULL,BANK,posted
9,2025-03-05,NULL,50.00,MSWP2241110,NO BOOK DEPOSIT TRANSFER MSWP2241110 MSWIPE TECHNOLOGIES PRIVATE LIMITED,NULL,NULL,2025-09-20 10:00:36,2025-09-20 10:00:36,NULL,BANK,posted
