int,varchar,varchar,enum,varchar,varchar,varchar
id,name,gstin,party_type,city,state,state_code
1,Supplier Name,Supplier GSTIN,supplier,NULL,Supplier State,NULL
2,KANHA JI DISTRIBUTORS,05AAECK5765H1ZE,supplier,NULL,5,NULL
3,DEEPAK TRADERS,05AELPS3782C1ZD,supplier,NULL,5,NULL
4,Local Market Unregistered Vendor,NULL,supplier,BHIMTAL -PIN 263136,UTTARAKHAND,NULL
3001,CASH / RETAIL CUSTOMER,NULL,customer,BHIMTAL - PIN 263136,UTTARAKHAND,NULL
3005,PATANJALI_SSC_card_wallet,NULL,both,BHIMTAL,UTTARAKHAND,NULL
3007,MSWIPE_machine_wallet,NULL,both,BHIMTAL,UTTARAKHAND,NULL
3008,INDIAN_BANK_MAIN,NULL,both,BHIMTAL,UTTARAKHAND,NULL
3009,KANHA JI DISTRIBUTORS,05AAECK5765H1ZE,supplier,NULL,NULL,NULL
