int,varchar,varchar,date,date,date,decimal,varchar,varchar,varchar,varchar,varchar,varchar,decimal,decimal,decimal,decimal,decimal,decimal,decimal,decimal,decimal,decimal,decimal,decimal
id,item_name,hindi_name,exp_date,invoice_date,mfg_date,quantity,invoice_no,batch_no,supplier_gstin,hsn_code,supplier_name,data_source,item_net_amount_gross,cgst_rate,sgst_rate,igst_rate,total_gst_rate,calculated_taxable_amount,calculated_rate,calculated_cgst_amount,calculated_sgst_amount,calculated_igst_amount,calculated_line_total,amount_difference
1,APPLE VINEGAR 500 ML,सेब का सिरका 500 मि.ली.,2025-09-05,2024-04-04,2024-03-14,1.000,TI53AAA2425,AB52400009,05AAECK5765H1ZE,22090090,KANHA JI DISTRIBUTORS,file1_2024-2025,2463.27,9.00,9.00,0.00,18.00,2087.52,2087.52,187.88,187.88,0.00,2463.28,0.01
2,DOODH BISCUIT 35 GM (200 PC),दूध बिस्किट 35 ग्राम (200 नग),2024-09-14,2024-04-04,2024-03-18,1.000,TI53AAA2425,CL24/BP1,05AAECK5765H1ZE,19053100,KANHA JI DISTRIBUTORS,file1_2024-2025,844.88,9.00,9.00,0.00,18.00,716.00,716.00,64.44,64.44,0.00,844.88,0.00
3,ALOEVERA KANTI BODY CLN.150G MNTHLY PACK,एलोवेरा कान्ति बॉडी क्लीन्ज़र 150 ग्राम मासिक पैक,2026-02-07,2024-04-04,2024-02-08,1.000,TI53AAA2425,AAUI240007,05AAECK5765H1ZE,34011941,KANHA JI DISTRIBUTORS,file1_2024-2025,2228.31,9.00,9.00,0.00,18.00,1888.40,1888.40,169.96,169.96,0.00,2228.32,0.01
4,HALDICHNDN KANTI BODYCLN.150G MNTHLY PAC,हल्दी-चंदन कान्ति बॉडी क्लीन्ज़र 150 ग्राम मासिक पैक,2026-01-22,2024-04-04,2024-01-23,1.000,TI53AAA2425,AAUH240007,05AAECK5765H1ZE,34011941,KANHA JI DISTRIBUTORS,file1_2024-2025,2409.62,9.00,9.00,0.00,18.00,2042.05,2042.05,183.78,183.78,0.00,2409.61,0.01
5,DOODH BISCUIT 70 GM (100 PC),दूध बिस्किट 70 ग्राम (100 नग),2024-09-09,2024-04-04,2024-03-13,1.000,TI53AAA2425,CG24/BP1,05AAECK5765H1ZE,19053100,KANHA JI DISTRIBUTORS,file1_2024-2025,844.88,9.00,9.00,0.00,18.00,716.00,716.00,64.44,64.44,0.00,844.88,0.00
6,FORTIFIED SOYABEAN OIL 1 LTR (P) - T,फोर्टिफाइड सोयाबीन तेल 1 लीटर,2024-12-17,2024-04-04,2024-03-22,1.000,TI53AAA2425,BR2B240017,05AAECK5765H1ZE,15079010,KANHA JI DISTRIBUTORS,file1_2024-2025,1334.47,2.50,2.50,0.00,5.00,1270.92,1270.92,31.77,31.77,0.00,1334.46,0.01
7,SESAME OIL 1 L (B)-T,तिल का तेल 1 लीटर,2024-11-17,2024-04-04,2024-02-21,1.000,TI53AAA2425,JACQ240015,05AAECK5765H1ZE,15155091,KANHA JI DISTRIBUTORS,file1_2024-2025,3450.89,2.50,2.50,0.00,5.00,3286.56,3286.56,82.16,82.16,0.00,3450.88,0.01
8,HERBO WASH DETERGENT POWDER 1 KG-T,हर्बो वॉश डिटर्जेंट पाउडर 1 किग्रा,2029-02-20,2024-04-04,2024-02-22,1.000,TI53AAA2425,BN52400009,05AAECK5765H1ZE,34029011,KANHA JI DISTRIBUTORS,file1_2024-2025,1826.35,9.00,9.00,0.00,18.00,1547.75,1547.75,139.30,139.30,0.00,1826.35,0.00
9,HERBAL WASH DETERGENT POWDER 1 KG-T,हर्बल वॉश डिटर्जेंट पाउडर 1 किग्रा,2029-02-06,2024-04-04,2024-02-08,1.000,TI53AAA2425,BM92400015,05AAECK5765H1ZE,34029011,KANHA JI DISTRIBUTORS,file1_2024-2025,1503.91,9.00,9.00,0.00,18.00,1274.50,1274.50,114.71,114.71,0.00,1503.92,0.01
