varchar,decimal,decimal,varchar,date,decimal,varchar,varchar,varchar,decimal,decimal,decimal,decimal,varchar,varchar
HSN code,Received Qty,mrp,Batch No,Mfg date,GST Perc,Supplier Name,Item name,Hindi_Name,Item Net Amount,cgstrate,sgstrate,igstrate,Inv No,Supplier GST
Item code,0.000,0.00,Hindi_Name,0000-00-00,0.00,Qty in CLD,Disc. Amount,Inv date,0.00,0.00,0.00,0.00,WAREHOUSE ADDRESS,Actual Purchase Rate
180002673,187.880,0.00,सेब का सिरका 500 मि.ली.,0000-00-00,5.00,1,0,04-04-2024,14.00,24.00,1.00,86.98,ktm,86.98
180005515,64.440,0.00,दूध बिस्किट 35 ग्राम (200 नग),0000-00-00,14.00,1,0,04-04-2024,18.00,200.00,1.00,3.58,ktm,3.58
73317,169.960,0.00,एलोवेरा कान्ति बॉडी क्लीन्ज़र 150 ग्राम मासिक पैक,0000-00-00,7.00,1,82,04-04-2024,8.00,24.00,1.00,82.10,ktm,82.1
73316,183.780,0.00,हल्दी-चंदन कान्ति बॉडी क्लीन्ज़र 150 ग्राम मासिक पै,0000-00-00,22.00,1,185.39,04-04-2024,23.00,24.00,1.00,92.81,ktm,92.81
180005517,64.440,0.00,दूध बिस्किट 70 ग्राम (100 नग),0000-00-00,9.00,1,0,04-04-2024,13.00,100.00,1.00,7.16,ktm,7.16
180003033,31.770,0.00,फोर्टिफाइड सोयाबीन तेल 1 लीटर,0000-00-00,17.00,1,0,04-04-2024,22.00,12.00,1.00,105.91,ktm,105.91
150000790,82.160,0.00,तिल का तेल 1 लीटर,0000-00-00,17.00,1,0,04-04-2024,21.00,12.00,1.00,273.88,ktm,273.88
81700,139.300,0.00,हर्बो वॉश डिटर्जेंट पाउडर 1 किग्रा,0000-00-00,20.00,1,0,04-04-2024,22.00,25.00,1.00,61.91,ktm,61.91
