TABLE_NAME,COLUMN_NAME,DATA_TYPE,CHARACTER_MAX_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_NULLABLE,COLUMN_DEFAULT,EXTRA,IS_PRIMARY_KEY,IS_UNIQUE,FK_REFERENCED_TABLE,FK_REFERENCED_COLUMN,UPDATE_RULE,DELETE_RULE,INDEX_NAME,NON_UNIQUE,INDEX_TYPE,SEQ_IN_INDEX
TABLE_NAME,COLUMN_NAME,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_NULLABLE,COLUMN_DEFAULT,EXTRA,IS_PRIMARY_KEY,IS_UNIQUE,FK_REFERENCED_TABLE,FK_REFERENCED_COLUMN,UPDATE_RULE,DELETE_RULE,INDEX_NAME,NON_UNIQUE,INDEX_TYPE,SEQ_IN_INDEX
accounts,id,int,NULL,10,0,NO,NULL,auto_increment,YES,NO,NULL,NULL,NULL,NULL,PRIMARY,0,BTREE,1
accounts,code,varchar,20,NULL,NULL,NO,NULL,,NO,YES,NULL,NULL,NULL,NULL,code,0,BTREE,1
accounts,code,varchar,20,NULL,NULL,NO,NULL,,NO,YES,NULL,NULL,NULL,NULL,idx_code,1,BTREE,1
accounts,name,varchar,255,NULL,NULL,NO,NULL,,NO,NO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
accounts,account_type,enum,9,NULL,NULL,NO,NULL,,NO,NO,NULL,NULL,NULL,NULL,idx_type,1,BTREE,1
accounts,parent_code,varchar,20,NULL,NULL,YES,NULL,,NO,NO,accounts,code,CASCADE,RESTRICT,idx_parent,1,BTREE,1
accounts,is_active,tinyint,NULL,3,0,YES,1,,NO,NO,NULL,NULL,NULL,NULL,idx_accounts_active,1,BTREE,1
accounts,description,text,65535,NULL,NULL,YES,NULL,,NO,NO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
accounts,created_at,timestamp,NULL,NULL,NULL,YES,current_timestamp(),,NO,NO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
accounts,updated_at,timestamp,NULL,NULL,NULL,YES,current_timestamp(),on update current_timestamp(),NO,NO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
app_settings,setting_key,varchar,100,NULL,NULL,NO,NULL,,YES,NO,NULL,NULL,NULL,NULL,PRIMARY,0,BTREE,1
app_settings,setting_value,text,65535,NULL,NULL,YES,NULL,,NO,NO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
app_settings,created_at,timestamp,NULL,NULL,NULL,YES,current_timestamp(),,NO,NO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
app_settings,updated_at,timestamp,NULL,NULL,NULL,YES,current_timestamp(),on update current_timestamp(),NO,NO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
bank_reconciliation,id,int,NULL,10,0,NO,NULL,auto_increment,YES,NO,NULL,NULL,NULL,NULL,PRIMARY,0,BTREE,1
bank_reconciliation,bank_account_code,varchar,20,NULL,NULL,NO,NULL,,NO,NO,accounts,code,CASCADE,RESTRICT,idx_account_date,1,BTREE,1
