TABLE_NAME,COLUMN_NAME,DATA_TYPE,CHARACTER_MAX_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_NULLABLE,COLUMN_DEFAULT,EXTRA,IS_PRIMARY_KEY,IS_UNIQUE,FK_REFERENCED_TABLE,FK_REFERENCED_COLUMN,UPDATE_RULE,DELETE_RULE,INDEX_NAME,NON_UNIQUE,INDEX_TYPE,SEQ_IN_INDEX
bank_statement_lines,id,int,NULL,10,0,NO,NULL,auto_increment,YES,NO,NULL,NULL,NULL,NULL,PRIMARY,0,BTREE,1
bank_statement_lines,statement_id,int,NULL,10,0,NO,NULL,,NO,NO,bank_statements,id,RESTRICT,CASCADE,idx_stmt_date,1,BTREE,1
bank_statement_lines,transaction_date,date,NULL,NULL,NULL,NO,NULL,,NO,NO,NULL,NULL,NULL,NULL,idx_stmt_date,1,BTREE,2
bank_statement_lines,description,varchar,255,NULL,NULL,NO,NULL,,NO,NO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
bank_statement_lines,debit_amount,decimal,NULL,15,2,YES,0.00,,NO,NO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
bank_statement_lines,credit_amount,decimal,NULL,15,2,YES,0.00,,NO,NO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
bank_statement_lines,balance,decimal,NULL,15,2,YES,NULL,,NO,NO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
bank_statement_lines,reference_no,varchar,100,NULL,NULL,YES,NULL,,NO,NO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
bank_statement_lines,is_reconciled,tinyint,NULL,3,0,YES,0,,NO,NO,NULL,NULL,NULL,NULL,idx_reconciled,1,BTREE,1
bank_statement_lines,journal_entry_id,int,NULL,10,0,YES,NULL,,NO,NO,NULL,NULL,NULL,NULL,idx_journal,1,BTREE,1
bank_statement_lines,created_at,timestamp,NULL,NULL,NULL,YES,current_timestamp(),,NO,NO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
