TABLE_NAME,COLUMN_NAME,DATA_TYPE,CHARACTER_MAX_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_NULLABLE,COLUMN_DEFAULT,EXTRA,IS_PRIMARY_KEY,IS_UNIQUE,FK_REFERENCED_TABLE,FK_REFERENCED_COLUMN,UPDATE_RULE,DELETE_RULE,INDEX_NAME,NON_UNIQUE,INDEX_TYPE,SEQ_IN_INDEX
bank_statements,id,int,NULL,10,0,NO,NULL,auto_increment,YES,NO,NULL,NULL,NULL,NULL,PRIMARY,0,BTREE,1
bank_statements,account_code,varchar,20,NULL,NULL,NO,NULL,,NO,YES,NULL,NULL,NULL,NULL,idx_account_date,1,BTREE,1
bank_statements,account_code,varchar,20,NULL,NULL,NO,NULL,,NO,YES,NULL,NULL,NULL,NULL,unique_statement,0,BTREE,1
bank_statements,statement_date,date,NULL,NULL,NULL,NO,NULL,,NO,YES,NULL,NULL,NULL,NULL,idx_account_date,1,BTREE,2
bank_statements,statement_date,date,NULL,NULL,NULL,NO,NULL,,NO,YES,NULL,NULL,NULL,NULL,unique_statement,0,BTREE,2
bank_statements,opening_balance,decimal,NULL,15,2,YES,0.00,,NO,NO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
bank_statements,closing_balance,decimal,NULL,15,2,NO,NULL,,NO,NO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
bank_statements,total_credits,decimal,NULL,15,2,YES,0.00,,NO,NO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
bank_statements,total_debits,decimal,NULL,15,2,YES,0.00,,NO,NO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
bank_statements,status,enum,10,NULL,NULL,YES,'pending',,NO,NO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
bank_statements,created_at,timestamp,NULL,NULL,NULL,YES,current_timestamp(),,NO,NO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
