TABLE_NAME,COLUMN_NAME,DATA_TYPE,CHARACTER_MAX_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_NULLABLE,COLUMN_DEFAULT,EXTRA,IS_PRIMARY_KEY,IS_UNIQUE,FK_REFERENCED_TABLE,FK_REFERENCED_COLUMN,UPDATE_RULE,DELETE_RULE,INDEX_NAME,NON_UNIQUE,INDEX_TYPE,SEQ_IN_INDEX
inventory_movements,id,int,NULL,10,0,NO,NULL,auto_increment,YES,NO,NULL,NULL,NULL,NULL,PRIMARY,0,BTREE,1
inventory_movements,item_id,int,NULL,10,0,NO,NULL,,NO,NO,NULL,NULL,NULL,NULL,idx_item_date,1,BTREE,1
inventory_movements,movement_type,enum,10,NULL,NULL,NO,NULL,,NO,NO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
inventory_movements,movement_date,date,NULL,NULL,NULL,NO,NULL,,NO,NO,NULL,NULL,NULL,NULL,idx_item_date,1,BTREE,2
inventory_movements,qty,decimal,NULL,12,3,NO,NULL,,NO,NO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
inventory_movements,unit_cost,decimal,NULL,12,4,NO,0.0000,,NO,NO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
inventory_movements,total_cost,decimal,NULL,15,2,NO,0.00,,NO,NO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
inventory_movements,source_type,varchar,50,NULL,NULL,YES,NULL,,NO,NO,NULL,NULL,NULL,NULL,idx_source,1,BTREE,1
inventory_movements,source_id,int,NULL,10,0,YES,NULL,,NO,NO,NULL,NULL,NULL,NULL,idx_source,1,BTREE,2
inventory_movements,notes,text,65535,NULL,NULL,YES,NULL,,NO,NO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
inventory_movements,created_at,timestamp,NULL,NULL,NULL,YES,current_timestamp(),,NO,NO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
