TABLE_NAME,COLUMN_NAME,DATA_TYPE,CHARACTER_MAX_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_NULLABLE,COLUMN_DEFAULT,EXTRA,IS_PRIMARY_KEY,IS_UNIQUE,FK_REFERENCED_TABLE,FK_REFERENCED_COLUMN,UPDATE_RULE,DELETE_RULE,INDEX_NAME,NON_UNIQUE,INDEX_TYPE,SEQ_IN_INDEX
inventory_valuations,id,int,NULL,10,0,NO,NULL,auto_increment,YES,NO,NULL,NULL,NULL,NULL,PRIMARY,0,BTREE,1
inventory_valuations,item_id,int,NULL,10,0,NO,NULL,,NO,YES,NULL,NULL,NULL,NULL,idx_item_date,1,BTREE,1
inventory_valuations,item_id,int,NULL,10,0,NO,NULL,,NO,YES,NULL,NULL,NULL,NULL,unique_item_date,0,BTREE,1
inventory_valuations,valuation_date,date,NULL,NULL,NULL,NO,NULL,,NO,YES,NULL,NULL,NULL,NULL,idx_item_date,1,BTREE,2
inventory_valuations,valuation_date,date,NULL,NULL,NULL,NO,NULL,,NO,YES,NULL,NULL,NULL,NULL,unique_item_date,0,BTREE,2
inventory_valuations,qty_on_hand,decimal,NULL,12,3,NO,0.000,,NO,NO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
inventory_valuations,unit_cost,decimal,NULL,12,4,NO,0.0000,,NO,NO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
inventory_valuations,total_value,decimal,NULL,15,2,NO,0.00,,NO,NO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
inventory_valuations,valuation_method,enum,16,NULL,NULL,YES,'WEIGHTED_AVERAGE',,NO,NO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
inventory_valuations,created_at,timestamp,NULL,NULL,NULL,YES,current_timestamp(),,NO,NO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
