TABLE_NAME,COLUMN_NAME,DATA_TYPE,CHARACTER_MAX_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_NULLABLE,COLUMN_DEFAULT,EXTRA,IS_PRIMARY_KEY,IS_UNIQUE,FK_REFERENCED_TABLE,FK_REFERENCED_COLUMN,UPDATE_RULE,DELETE_RULE,INDEX_NAME,NON_UNIQUE,INDEX_TYPE,SEQ_IN_INDEX
invoice_items,id,int,NULL,10,0,NO,NULL,auto_increment,YES,NO,NULL,NULL,NULL,NULL,PRIMARY,0,BTREE,1
invoice_items,invoice_id,int,NULL,10,0,NO,NULL,,NO,NO,invoices,id,RESTRICT,CASCADE,idx_invoice_id,1,BTREE,1
invoice_items,invoice_id,int,NULL,10,0,NO,NULL,,NO,NO,invoices,id,RESTRICT,CASCADE,idx_item_invoice,1,BTREE,1
invoice_items,item_id,int,NULL,10,0,NO,NULL,,NO,NO,items,id,RESTRICT,RESTRICT,idx_item_id,1,BTREE,1
invoice_items,description,varchar,255,NULL,NULL,YES,NULL,,NO,NO,NULL,NULL,NULL,NULL,description,1,FULLTEXT,1
invoice_items,description,varchar,255,NULL,NULL,YES,NULL,,NO,NO,NULL,NULL,NULL,NULL,description_2,1,FULLTEXT,1
invoice_items,description,varchar,255,NULL,NULL,YES,NULL,,NO,NO,NULL,NULL,NULL,NULL,idx_item_description,1,BTREE,1
invoice_items,description_en,varchar,255,NULL,NULL,YES,NULL,,NO,NO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
invoice_items,hsn,varchar,10,NULL,NULL,YES,NULL,,NO,NO,NULL,NULL,NULL,NULL,idx_item_hsn,1,BTREE,1
invoice_items,quantity,decimal,NULL,10,3,NO,1.000,,NO,NO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
invoice_items,rate,decimal,NULL,10,2,NO,0.00,,NO,NO,NULL,NULL,NULL,NULL,idx_item_rate,1,BTREE,1
invoice_items,discount_percent,decimal,NULL,5,2,NO,0.00,,NO,NO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
invoice_items,discount_amount,decimal,NULL,10,2,YES,NULL,STORED GENERATED,NO,NO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
invoice_items,taxable_amount,decimal,NULL,10,2,YES,NULL,STORED GENERATED,NO,NO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
invoice_items,cgst_rate,decimal,NULL,5,2,NO,0.00,,NO,NO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
invoice_items,sgst_rate,decimal,NULL,5,2,NO,0.00,,NO,NO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
invoice_items,igst_rate,decimal,NULL,5,2,NO,0.00,,NO,NO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
invoice_items,cgst_amount,decimal,NULL,10,2,YES,NULL,STORED GENERATED,NO,NO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
invoice_items,sgst_amount,decimal,NULL,10,2,YES,NULL,STORED GENERATED,NO,NO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
invoice_items,igst_amount,decimal,NULL,10,2,YES,NULL,STORED GENERATED,NO,NO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
invoice_items,line_total,decimal,NULL,12,2,YES,NULL,STORED GENERATED,NO,NO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
invoice_items,itc_eligible,tinyint,NULL,3,0,NO,1,,NO,NO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
invoice_items,is_prepackaged_labelled,tinyint,NULL,3,0,NO,0,,NO,NO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
