TABLE_NAME,COLUMN_NAME,DATA_TYPE,CHARACTER_MAX_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_NULLABLE,COLUMN_DEFAULT,EXTRA,IS_PRIMARY_KEY,IS_UNIQUE,FK_REFERENCED_TABLE,FK_REFERENCED_COLUMN,UPDATE_RULE,DELETE_RULE,INDEX_NAME,NON_UNIQUE,INDEX_TYPE,SEQ_IN_INDEX
invoices,id,int,NULL,10,0,NO,NULL,auto_increment,YES,NO,NULL,NULL,NULL,NULL,PRIMARY,0,BTREE,1
invoices,party_id,int,NULL,10,0,NO,NULL,,NO,NO,parties,id,RESTRICT,RESTRICT,idx_invoice_party,1,BTREE,1
invoices,party_id,int,NULL,10,0,NO,NULL,,NO,NO,parties,id,RESTRICT,RESTRICT,idx_inv_party,1,BTREE,1
invoices,inv_type,enum,11,NULL,NULL,NO,NULL,,NO,NO,NULL,NULL,NULL,NULL,idx_invoice_type,1,BTREE,1
invoices,inv_type,enum,11,NULL,NULL,NO,NULL,,NO,NO,NULL,NULL,NULL,NULL,idx_inv_type,1,BTREE,1
invoices,series_code,varchar,20,NULL,NULL,YES,NULL,,NO,NO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
invoices,seq_no,int,NULL,10,0,YES,NULL,,NO,NO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
invoices,invoice_no,varchar,50,NULL,NULL,NO,NULL,,NO,NO,NULL,NULL,NULL,NULL,idx_invoice_no,1,BTREE,1
invoices,external_sales_ref_no,varchar,100,NULL,NULL,YES,NULL,,NO,NO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
invoices,external_supplier_invoice_no,varchar,100,NULL,NULL,YES,NULL,,NO,NO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
invoices,invoice_date,date,NULL,NULL,NULL,NO,NULL,,NO,NO,NULL,NULL,NULL,NULL,idx_invoice_date,1,BTREE,1
invoices,invoice_date,date,NULL,NULL,NULL,NO,NULL,,NO,NO,NULL,NULL,NULL,NULL,idx_inv_date,1,BTREE,1
invoices,place_of_supply,varchar,50,NULL,NULL,YES,NULL,,NO,NO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
invoices,reverse_charge,tinyint,NULL,3,0,YES,0,,NO,NO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
invoices,status,enum,9,NULL,NULL,YES,'draft',,NO,NO,NULL,NULL,NULL,NULL,idx_invoice_status,1,BTREE,1
invoices,itc_eligible,tinyint,NULL,3,0,NO,1,,NO,NO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
