TABLE_NAME,COLUMN_NAME,DATA_TYPE,CHARACTER_MAX_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_NULLABLE,COLUMN_DEFAULT,EXTRA,IS_PRIMARY_KEY,IS_UNIQUE,FK_REFERENCED_TABLE,FK_REFERENCED_COLUMN,UPDATE_RULE,DELETE_RULE,INDEX_NAME,NON_UNIQUE,INDEX_TYPE,SEQ_IN_INDEX
items,id,int,NULL,10,0,NO,NULL,auto_increment,YES,NO,NULL,NULL,NULL,NULL,PRIMARY,0,BTREE,1
items,canonical_name,varchar,255,NULL,NULL,NO,NULL,,NO,NO,NULL,NULL,NULL,NULL,ft_item_name,1,FULLTEXT,1
items,canonical_name,varchar,255,NULL,NULL,NO,NULL,,NO,NO,NULL,NULL,NULL,NULL,idx_item_name,1,BTREE,1
items,hsn,varchar,10,NULL,NULL,YES,NULL,,NO,NO,NULL,NULL,NULL,NULL,idx_item_hsn_code,1,BTREE,1
items,is_SSC_PAYABLE,tinyint,NULL,3,0,NO,0,,NO,NO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
items,is_active,tinyint,NULL,3,0,NO,1,,NO,NO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
items,is_prepackaged_labelled,tinyint,NULL,3,0,NO,0,,NO,NO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
items,track_cogs,tinyint,NULL,3,0,YES,1,,NO,NO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
items,inventory_account,varchar,20,NULL,NULL,YES,'1200',,NO,NO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
items,cogs_account,varchar,20,NULL,NULL,YES,'5100',,NO,NO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
