TABLE_NAME,COLUMN_NAME,DATA_TYPE,CHARACTER_MAX_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_NULLABLE,COLUMN_DEFAULT,EXTRA,IS_PRIMARY_KEY,IS_UNIQUE,FK_REFERENCED_TABLE,FK_REFERENCED_COLUMN,UPDATE_RULE,DELETE_RULE,INDEX_NAME,NON_UNIQUE,INDEX_TYPE,SEQ_IN_INDEX
journal_entries,id,int,NULL,10,0,NO,NULL,auto_increment,YES,NO,NULL,NULL,NULL,NULL,PRIMARY,0,BTREE,1
journal_entries,entry_date,date,NULL,NULL,NULL,NO,NULL,,NO,NO,NULL,NULL,NULL,NULL,idx_company_date,1,BTREE,1
journal_entries,description,varchar,255,NULL,NULL,YES,NULL,,NO,NO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
journal_entries,amount,decimal,NULL,12,2,NO,NULL,,NO,NO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
journal_entries,reference_no,varchar,100,NULL,NULL,YES,NULL,,NO,NO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
journal_entries,notes,text,65535,NULL,NULL,YES,NULL,,NO,NO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
journal_entries,source_type,varchar,50,NULL,NULL,YES,NULL,,NO,NO,NULL,NULL,NULL,NULL,idx_journal_source,1,BTREE,1
journal_entries,source_id,int,NULL,10,0,YES,NULL,,NO,NO,NULL,NULL,NULL,NULL,idx_journal_source,1,BTREE,2
journal_entries,created_at,timestamp,NULL,NULL,NULL,YES,current_timestamp(),,NO,NO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
journal_entries,updated_at,timestamp,NULL,NULL,NULL,YES,current_timestamp(),on update current_timestamp(),NO,NO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
journal_entries,created_by,varchar,100,NULL,NULL,YES,NULL,,NO,NO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
journal_entries,source,varchar,50,NULL,NULL,YES,NULL,,NO,NO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
journal_entries,status,varchar,20,NULL,NULL,YES,'posted',,NO,NO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
