TABLE_NAME,COLUMN_NAME,DATA_TYPE,CHARACTER_MAX_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_NULLABLE,COLUMN_DEFAULT,EXTRA,IS_PRIMARY_KEY,IS_UNIQUE,FK_REFERENCED_TABLE,FK_REFERENCED_COLUMN,UPDATE_RULE,DELETE_RULE,INDEX_NAME,NON_UNIQUE,INDEX_TYPE,SEQ_IN_INDEX
purchase_invoice_staging,id,int,NULL,10,0,NO,NULL,auto_increment,YES,NO,NULL,NULL,NULL,NULL,PRIMARY,0,BTREE,1
purchase_invoice_staging,item_name,varchar,255,NULL,NULL,NO,NULL,,NO,NO,NULL,NULL,NULL,NULL,idx_staging_item_name,1,BTREE,1
purchase_invoice_staging,hindi_name,varchar,255,NULL,NULL,YES,NULL,,NO,NO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
purchase_invoice_staging,exp_date,date,NULL,NULL,NULL,YES,NULL,,NO,NO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
purchase_invoice_staging,invoice_date,date,NULL,NULL,NULL,NO,NULL,,NO,NO,NULL,NULL,NULL,NULL,idx_staging_invoice_date,1,BTREE,1
purchase_invoice_staging,mfg_date,date,NULL,NULL,NULL,YES,NULL,,NO,NO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
purchase_invoice_staging,quantity,decimal,NULL,10,3,NO,1.000,,NO,NO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
purchase_invoice_staging,sgst_rate,decimal,NULL,5,2,NO,0.00,,NO,NO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
purchase_invoice_staging,invoice_no,varchar,50,NULL,NULL,NO,NULL,,NO,NO,NULL,NULL,NULL,NULL,idx_staging_invoice_no,1,BTREE,1
purchase_invoice_staging,cgst_rate,decimal,NULL,5,2,NO,0.00,,NO,NO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
purchase_invoice_staging,batch_no,varchar,50,NULL,NULL,YES,NULL,,NO,NO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
purchase_invoice_staging,taxable_amount,decimal,NULL,10,2,NO,0.00,,NO,NO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
purchase_invoice_staging,supplier_gstin,varchar,15,NULL,NULL,YES,NULL,,NO,NO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
purchase_invoice_staging,total_gst_rate,decimal,NULL,5,2,NO,0.00,,NO,NO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
purchase_invoice_staging,hsn_code,varchar,10,NULL,NULL,YES,NULL,,NO,NO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
purchase_invoice_staging,igst_rate,decimal,NULL,5,2,NO,0.00,,NO,NO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
purchase_invoice_staging,mrp,decimal,NULL,8,2,YES,NULL,,NO,NO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
purchase_invoice_staging,igst_amount,decimal,NULL,10,2,YES,0.00,,NO,NO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
purchase_invoice_staging,supplier_name,varchar,255,NULL,NULL,NO,NULL,,NO,NO,NULL,NULL,NULL,NULL,idx_staging_supplier,1,BTREE,1
purchase_invoice_staging,data_source,varchar,50,NULL,NULL,YES,NULL,,NO,NO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
