item_name,hindi_name,exp_date,invoice_date,mfg_date,quantity,sgst_rate,invoice_no,cgst_rate,batch_no,Item_Net_Amount,supplier_gstin,total_gst_rate,hsn_code,igst_rate,mrp,igst_amount,supplier_name,data_source
APPLE VINEGAR 500 ML,सेब का सिरका 500 मि.ली.,2025-09-05,2024-04-04,2024-03-14,1,9,TI53AAA2425,9,AB52400009,2463.27,05AAECK5765H1ZE,18,22090090,0,130,0,KANHA JI DISTRIBUTORS,file1_2024-2025
DOODH BISCUIT 35 GM (200 PC),दूध बिस्किट 35 ग्राम (200 नग),2024-09-14,2024-04-04,2024-03-18,1,9,TI53AAA2425,9,CL24/BP1,844.88,05AAECK5765H1ZE,18,19053100,0,5,0,KANHA JI DISTRIBUTORS,file1_2024-2025
ALOEVERA KANTI BODY CLN.150G MNTHLY PACK,एलोवेरा कान्ति बॉडी क्लीन्ज़र 150 ग्राम मासिक पैक,2026-02-07,2024-04-04,2024-02-08,1,9,TI53AAA2425,9,AAUI240007,2228.31,05AAECK5765H1ZE,18,34011941,0,115,0,KANHA JI DISTRIBUTORS,file1_2024-2025
HALDICHNDN KANTI BODYCLN.150G MNTHLY PAC,हल्दी-चंदन कान्ति बॉडी क्लीन्ज़र 150 ग्राम मासिक पैक,2026-01-22,2024-04-04,2024-01-23,1,9,TI53AAA2425,9,AAUH240007,2409.62,05AAECK5765H1ZE,18,34011941,0,130,0,KANHA JI DISTRIBUTORS,file1_2024-2025
DOODH BISCUIT 70 GM (100 PC),दूध बिस्किट 70 ग्राम (100 नग),2024-09-09,2024-04-04,2024-03-13,1,9,TI53AAA2425,9,CG24/BP1,844.88,05AAECK5765H1ZE,18,19053100,0,10,0,KANHA JI DISTRIBUTORS,file1_2024-2025
FORTIFIED SOYABEAN OIL 1 LTR (P) - T,फोर्टिफाइड सोयाबीन तेल 1 लीटर,2024-12-17,2024-04-04,2024-03-22,1,2.5,TI53AAA2425,2.5,BR2B240017,1334.47,05AAECK5765H1ZE,5,15079010,0,125,0,KANHA JI DISTRIBUTORS,file1_2024-2025
SESAME OIL 1 L (B)-T,तिल का तेल 1 लीटर,2024-11-17,2024-04-04,2024-02-21,1,2.5,TI53AAA2425,2.5,JACQ240015,3450.89,05AAECK5765H1ZE,5,15155091,0,340,0,KANHA JI DISTRIBUTORS,file1_2024-2025
HERBO WASH DETERGENT POWDER 1 KG-T,हर्बो वॉश डिटर्जेंट पाउडर 1 किग्रा,2029-02-20,2024-04-04,2024-02-22,1,9,TI53AAA2425,9,BN52400009,1826.35,05AAECK5765H1ZE,18,34029011,0,85,0,KANHA JI DISTRIBUTORS,file1_2024-2025
HERBAL WASH DETERGENT POWDER 1 KG-T,हर्बल वॉश डिटर्जेंट पाउडर 1 किग्रा,2029-02-06,2024-04-04,2024-02-08,1,9,TI53AAA2425,9,BM92400015,1503.91,05AAECK5765H1ZE,18,34029011,0,70,0,KANHA JI DISTRIBUTORS,file1_2024-2025
MUSTARD OIL 5 L (J)-T,सरसों का तेल 5 लीटर,2025-02-13,2024-04-04,2024-02-19,1,2.5,TI53AAA2425,2.5,N3B2400005,2653.01,05AAECK5765H1ZE,5,15149920,0,725,0,KANHA JI DISTRIBUTORS,file1_2024-2025
MUSTARD OIL 1 L (P)-T,सरसों का तेल 1 लीटर,2025-03-06,2024-04-04,2024-03-11,4,2.5,TI53AAA2425,2.5,N2B2400018,6033.89,05AAECK5765H1ZE,5,15149920,0,140,0,KANHA JI DISTRIBUTORS,file1_2024-2025
MUSTARD OIL 1 L (B)-T,सरसों का तेल 1 लीटर,2025-03-06,2024-04-04,2024-03-11,1,2.5,TI53AAA2425,2.5,N1B2400030,1562.4,05AAECK5765H1ZE,5,15149920,0,145,0,KANHA JI DISTRIBUTORS,file1_2024-2025
TRADITIONAL WHOLE WHEAT ATTA 10 KG(UK),पारंपरिक गेहूं का आटा 10 किग्रा (यूके),2024-06-15,2024-04-04,2024-02-16,2,2.5,TI53AAA2425,2.5,PDBKP24005,3677.31,05AAECK5765H1ZE,5,11010000,0,410,0,KANHA JI DISTRIBUTORS,file1_2024-2025
TURMERIC POWDER 200 GM,हल्दी पाउडर 200 ग्राम,2025-02-15,2024-04-04,2024-02-21,1,2.5,TI53AAA2425,2.5,AJC2400008,1368.88,05AAECK5765H1ZE,5,9103030,0,68,0,KANHA JI DISTRIBUTORS,file1_2024-2025
NEEM KANTI BODY CLNSR.150GM MONTHLY PACK,नीम कान्ति बॉडी क्लीन्ज़र 150 ग्राम मासिक पैक,2026-02-27,2024-04-04,2024-02-28,1,9,TI53AAA2425,9,AAUG240011,2228.31,05AAECK5765H1ZE,18,34011941,0,115,0,KANHA JI DISTRIBUTORS,file1_2024-2025
KESH KANTI ADV. H.H. EXPERT SHAMPO-100ML,केश कान्ति एडवांस हेयर एक्सपर्ट शैम्पू 100 मि.ली.,2026-02-08,2024-04-04,2024-02-09,1,9,TI53AAA2425,9,AAWT240002,3090.45,05AAECK5765H1ZE,18,33051090,0,120,0,KANHA JI DISTRIBUTORS,file1_2024-2025
KESH KANTI ADVANCE H.HAIR EXPERTOIL100ML,केश कान्ति एडवांस हेयर एक्सपर्ट ऑयल 100 मि.ली.,2025-12-31,2024-04-04,2024-01-11,1,9,TI53AAA2425,9,AATV240002,6897.56,05AAECK5765H1ZE,18,33059019,0,400,0,KANHA JI DISTRIBUTORS,file1_2024-2025
PUSHTAHAR DALIA 500 G,पुष्टाहार दलिया 500 ग्राम,2024-12-15,2024-04-04,2024-03-20,1,2.5,TI53AAA2425,2.5,PDCQ240019,1141.88,05AAECK5765H1ZE,5,11031900,0,45,0,KANHA JI DISTRIBUTORS,file1_2024-2025
KHAND 1 KG,खांड 1 किग्रा,2025-03-15,2024-04-04,2024-03-20,1,2.5,TI53AAA2425,2.5,AARQ240011,2553.71,05AAECK5765H1ZE,5,17011420,0,100,0,KANHA JI DISTRIBUTORS,file1_2024-2025
KESH KANTI REETHA HAIR CLEANSER 180 ML,केश कान्ति रीठा हेयर क्लींज़र 180 मि.ली.,2026-01-26,2024-04-04,2024-02-06,1,9,TI53AAA2425,9,ABAB240002,3344.98,05AAECK5765H1ZE,18,33051090,0,120,0,KANHA JI DISTRIBUTORS,file1_2024-2025
