item_name,hindi_name,exp_date,invoice_date,mfg_date,quantity,invoice_no,batch_no,supplier_gstin,hsn_code,supplier_name,data_source,Item_Net_Amount,calculated_taxable_amount,calculated_rate,cgst_rate,sgst_rate,igst_rate,total_gst_rate,calculated_cgst_amount,calculated_sgst_amount,calculated_igst_amount,calculated_line_total
APPLE VINEGAR 500 ML,सेब का सिरका 500 मि.ली.,2025-09-05,2024-04-04,2024-03-14,1,TI53AAA2425,AB52400009,05AAECK5765H1ZE,22090090,KANHA JI DISTRIBUTORS,file1_2024-2025,2463.27,2087.5169491525426,2087.5169491525426,9.0,9.0,0,18,187.87652542372882,187.87652542372882,0.0,2463.27
DOODH BISCUIT 35 GM (200 PC),दूध बिस्किट 35 ग्राम (200 नग),2024-09-14,2024-04-04,2024-03-18,1,TI53AAA2425,CL24/BP1,05AAECK5765H1ZE,19053100,KANHA JI DISTRIBUTORS,file1_2024-2025,844.88,716.0,716.0,9.0,9.0,0,18,64.44,64.44,0.0,844.8800000000001
ALOEVERA KANTI BODY CLN.150G MNTHLY PACK,एलोवेरा कान्ति बॉडी क्लीन्ज़र 150 ग्राम मासिक पैक,2026-02-07,2024-04-04,2024-02-08,1,TI53AAA2425,AAUI240007,05AAECK5765H1ZE,34011941,KANHA JI DISTRIBUTORS,file1_2024-2025,2228.31,1888.3983050847457,1888.3983050847457,9.0,9.0,0,18,169.95584745762713,169.95584745762713,0.0,2228.31
HALDICHNDN KANTI BODYCLN.150G MNTHLY PAC,हल्दी-चंदन कान्ति बॉडी क्लीन्ज़र 150 ग्राम मासिक पैक,2026-01-22,2024-04-04,2024-01-23,1,TI53AAA2425,AAUH240007,05AAECK5765H1ZE,34011941,KANHA JI DISTRIBUTORS,file1_2024-2025,2409.62,2042.0508474576272,2042.0508474576272,9.0,9.0,0,18,183.78457627118644,183.78457627118644,0.0,2409.62
DOODH BISCUIT 70 GM (100 PC),दूध बिस्किट 70 ग्राम (100 नग),2024-09-09,2024-04-04,2024-03-13,1,TI53AAA2425,CG24/BP1,05AAECK5765H1ZE,19053100,KANHA JI DISTRIBUTORS,file1_2024-2025,844.88,716.0,716.0,9.0,9.0,0,18,64.44,64.44,0.0,844.8800000000001
FORTIFIED SOYABEAN OIL 1 LTR (P) - T,फोर्टिफाइड सोयाबीन तेल 1 लीटर,2024-12-17,2024-04-04,2024-03-22,1,TI53AAA2425,BR2B240017,05AAECK5765H1ZE,15079010,KANHA JI DISTRIBUTORS,file1_2024-2025,1334.47,1270.9238095238095,1270.9238095238095,2.5,2.5,0,5,31.773095238095237,31.773095238095237,0.0,1334.47
SESAME OIL 1 L (B)-T,तिल का तेल 1 लीटर,2024-11-17,2024-04-04,2024-02-21,1,TI53AAA2425,JACQ240015,05AAECK5765H1ZE,15155091,KANHA JI DISTRIBUTORS,file1_2024-2025,3450.89,3286.5619047619043,3286.5619047619043,2.5,2.5,0,5,82.16404761904761,82.16404761904761,0.0,3450.89
HERBO WASH DETERGENT POWDER 1 KG-T,हर्बो वॉश डिटर्जेंट पाउडर 1 किग्रा,2029-02-20,2024-04-04,2024-02-22,1,TI53AAA2425,BN52400009,05AAECK5765H1ZE,34029011,KANHA JI DISTRIBUTORS,file1_2024-2025,1826.35,1547.7542372881355,1547.7542372881355,9.0,9.0,0,18,139.2978813559322,139.2978813559322,0.0,1826.35
HERBAL WASH DETERGENT POWDER 1 KG-T,हर्बल वॉश डिटर्जेंट पाउडर 1 किग्रा,2029-02-06,2024-04-04,2024-02-08,1,TI53AAA2425,BM92400015,05AAECK5765H1ZE,34029011,KANHA JI DISTRIBUTORS,file1_2024-2025,1503.91,1274.5000000000002,1274.5000000000002,9.0,9.0,0,18,114.70500000000001,114.70500000000001,0.0,1503.91
MUSTARD OIL 5 L (J)-T,सरसों का तेल 5 लीटर,2025-02-13,2024-04-04,2024-02-19,1,TI53AAA2425,N3B2400005,05AAECK5765H1ZE,15149920,KANHA JI DISTRIBUTORS,file1_2024-2025,2653.01,2526.6761904761906,2526.6761904761906,2.5,2.5,0,5,63.16690476190477,63.16690476190477,0.0,2653.01
MUSTARD OIL 1 L (P)-T,सरसों का तेल 1 लीटर,2025-03-06,2024-04-04,2024-03-11,4,TI53AAA2425,N2B2400018,05AAECK5765H1ZE,15149920,KANHA JI DISTRIBUTORS,file1_2024-2025,6033.89,5746.561904761905,1436.6404761904762,2.5,2.5,0,5,143.6640476190476,143.6640476190476,0.0,6033.89
MUSTARD OIL 1 L (B)-T,सरसों का तेल 1 लीटर,2025-03-06,2024-04-04,2024-03-11,1,TI53AAA2425,N1B2400030,05AAECK5765H1ZE,15149920,KANHA JI DISTRIBUTORS,file1_2024-2025,1562.4,1488.0,1488.0,2.5,2.5,0,5,37.2,37.2,0.0,1562.4
TRADITIONAL WHOLE WHEAT ATTA 10 KG(UK),पारंपरिक गेहूं का आटा 10 किग्रा (यूके),2024-06-15,2024-04-04,2024-02-16,2,TI53AAA2425,PDBKP24005,05AAECK5765H1ZE,11010000,KANHA JI DISTRIBUTORS,file1_2024-2025,3677.31,3502.2,1751.1,2.5,2.5,0,5,87.555,87.555,0.0,3677.3099999999995
TURMERIC POWDER 200 GM,हल्दी पाउडर 200 ग्राम,2025-02-15,2024-04-04,2024-02-21,1,TI53AAA2425,AJC2400008,05AAECK5765H1ZE,9103030,KANHA JI DISTRIBUTORS,file1_2024-2025,1368.88,1303.6952380952382,1303.6952380952382,2.5,2.5,0,5,32.59238095238096,32.59238095238096,0.0,1368.8800000000003
NEEM KANTI BODY CLNSR.150GM MONTHLY PACK,नीम कान्ति बॉडी क्लीन्ज़र 150 ग्राम मासिक पैक,2026-02-27,2024-04-04,2024-02-28,1,TI53AAA2425,AAUG240011,05AAECK5765H1ZE,34011941,KANHA JI DISTRIBUTORS,file1_2024-2025,2228.31,1888.3983050847457,1888.3983050847457,9.0,9.0,0,18,169.95584745762713,169.95584745762713,0.0,2228.31
KESH KANTI ADV. H.H. EXPERT SHAMPO-100ML,केश कान्ति एडवांस हेयर एक्सपर्ट शैम्पू 100 मि.ली.,2026-02-08,2024-04-04,2024-02-09,1,TI53AAA2425,AAWT240002,05AAECK5765H1ZE,33051090,KANHA JI DISTRIBUTORS,file1_2024-2025,3090.45,2619.0254237288136,2619.0254237288136,9.0,9.0,0,18,235.7122881355932,235.7122881355932,0.0,3090.45
KESH KANTI ADVANCE H.HAIR EXPERTOIL100ML,केश कान्ति एडवांस हेयर एक्सपर्ट ऑयल 100 मि.ली.,2025-12-31,2024-04-04,2024-01-11,1,TI53AAA2425,AATV240002,05AAECK5765H1ZE,33059019,KANHA JI DISTRIBUTORS,file1_2024-2025,6897.56,5845.389830508475,5845.389830508475,9.0,9.0,0,18,526.0850847457627,526.0850847457627,0.0,6897.5599999999995
PUSHTAHAR DALIA 500 G,पुष्टाहार दलिया 500 ग्राम,2024-12-15,2024-04-04,2024-03-20,1,TI53AAA2425,PDCQ240019,05AAECK5765H1ZE,11031900,KANHA JI DISTRIBUTORS,file1_2024-2025,1141.88,1087.504761904762,1087.504761904762,2.5,2.5,0,5,27.18761904761905,27.18761904761905,0.0,1141.8800000000003
KHAND 1 KG,खांड 1 किग्रा,2025-03-15,2024-04-04,2024-03-20,1,TI53AAA2425,AARQ240011,05AAECK5765H1ZE,17011420,KANHA JI DISTRIBUTORS,file1_2024-2025,2553.71,2432.1047619047617,2432.1047619047617,2.5,2.5,0,5,60.80261904761905,60.80261904761905,0.0,2553.7099999999996
KESH KANTI REETHA HAIR CLEANSER 180 ML,केश कान्ति रीठा हेयर क्लींज़र 180 मि.ली.,2026-01-26,2024-04-04,2024-02-06,1,TI53AAA2425,ABAB240002,05AAECK5765H1ZE,33051090,KANHA JI DISTRIBUTORS,file1_2024-2025,3344.98,2834.728813559322,2834.728813559322,9.0,9.0,0,18,255.125593220339,255.125593220339,0.0,3344.98
ATTA NOODLES CHATPATA-60 GM (96 PC) - T,आटा नूडल्स चटपटा 60 ग्राम (96 नग),2024-11-19,2024-04-04,2024-02-23,1,TI53AAA2425,CH230224,05AAECK5765H1ZE,19022090,KANHA JI DISTRIBUTORS,file1_2024-2025,917.15,818.8839285714284,818.8839285714284,6.0,6.0,0,12,49.133035714285704,49.133035714285704,0.0,917.1499999999999
TUVAR DAL 1000 GM (R1),अरहर दाल 1000 ग्राम,2024-11-15,2024-04-04,2024-02-19,1,TI53AAA2425,BPRAD24005,05AAECK5765H1ZE,7136000,KANHA JI DISTRIBUTORS,file1_2024-2025,1930.85,1838.9047619047617,1838.9047619047617,2.5,2.5,0,5,45.97261904761905,45.97261904761905,0.0,1930.8499999999997
SABZI MASALA 100 GM (30 pcs),सब्जी मसाला 100 ग्राम (30 नग),2025-03-07,2024-04-04,2024-03-12,1,TI53AAA2425,AFI2400009,05AAECK5765H1ZE,9109100,KANHA JI DISTRIBUTORS,file1_2024-2025,1308.47,1246.1619047619047,1246.1619047619047,2.5,2.5,0,5,31.154047619047613,31.154047619047613,0.0,1308.4699999999998
DANT KANTI NATURAL(200GX3)BIG SAVER PACK,दंत कान्ति नेचुरल (200 ग्राम × 3) बड़ा बचत पैक,2026-02-18,2024-04-04,2024-02-29,1,TI53AAA2425,AAPW240008,05AAECK5765H1ZE,33061020,KANHA JI DISTRIBUTORS,file1_2024-2025,5610.0,4754.237288135593,4754.237288135593,9.0,9.0,0,18,427.88135593220335,427.88135593220335,0.0,5610.0
DIVYA GODHAN ARK - 450ML,दिव्य गोधन अर्क 450 मि.ली.,2025-01-28,2024-04-04,2024-02-03,1,TI53AAA2425,AGDA240007,05AAECK5765H1ZE,30049011,KANHA JI DISTRIBUTORS,file1_2024-2025,816.7,729.1964285714286,729.1964285714286,6.0,6.0,0,12,43.75178571428572,43.75178571428572,0.0,816.6999999999999
GONYLE FLOOR CLEANER - 5 LTR,गोनाइल फ्लोर क्लीनर 5 लीटर,2025-02-27,2024-04-04,2024-03-04,1,TI53AAA2425,0161/23-24,05AAECK5765H1ZE,38084000,KANHA JI DISTRIBUTORS,file1_2024-2025,1066.6,903.8983050847457,903.8983050847457,9.0,9.0,0,18,81.35084745762711,81.35084745762711,0.0,1066.6
GILOY JUICE 500 ML,गिलोय रस 500 मि.ली.,2025-03-01,2024-04-04,2024-03-01,1,TI53AAA2425,PFY2400004,05AAECK5765H1ZE,30049011,KANHA JI DISTRIBUTORS,file1_2024-2025,854.52,762.9642857142857,762.9642857142857,6.0,6.0,0,12,45.77785714285714,45.77785714285714,0.0,854.5199999999999
ALOEVERA JUICE 1 L (FIBRE),एलोवेरा रस (फाइबर युक्त) 1 लीटर,2024-12-02,2024-04-04,2024-03-07,1,TI53AAA2425,PGD2400100,05AAECK5765H1ZE,30049011,KANHA JI DISTRIBUTORS,file1_2024-2025,1754.68,1566.6785714285713,1566.6785714285713,6.0,6.0,0,12,94.00071428571428,94.00071428571428,0.0,1754.68
BURA 1 KG,बूरा 1 किग्रा,2024-12-01,2024-04-04,2024-03-06,1,TI53AAA2425,AKI2400028,05AAECK5765H1ZE,17029090,KANHA JI DISTRIBUTORS,file1_2024-2025,2020.41,1924.2,1924.2,2.5,2.5,0,5,48.105,48.105,0.0,2020.41
SABUDANA 500 GM,साबूदाना 500 ग्राम,2024-09-08,2024-04-04,2024-03-12,10,TI53AAA2425,AALX240014,05AAECK5765H1ZE,19030000,KANHA JI DISTRIBUTORS,file1_2024-2025,592.1,563.9047619047619,56.39047619047619,2.5,2.5,0,5,14.097619047619048,14.097619047619048,0.0,592.0999999999999
Divya Jwar Nashak Vati 40 Tab,दिव्य ज्वर नाशक वटी 40 टैबलेट,2026-11-19,2024-04-04,2023-12-05,20,TI54AAA2425,AJNV230018,05AAECK5765H1ZE,30049011,KANHA JI DISTRIBUTORS,file1_2024-2025,916.61,818.4017857142857,40.92008928571428,6.0,6.0,0,12,49.10410714285714,49.10410714285714,0.0,916.61
DIVYA ASHWAGANDHA CHURNA - 100 GM,दिव्य अश्वगंधा चूर्ण 100 ग्राम,2026-01-23,2024-04-04,2024-02-03,25,TI54AAA2425,AAGC240013,05AAECK5765H1ZE,30049011,KANHA JI DISTRIBUTORS,file1_2024-2025,1735.39,1652.752380952381,66.11009523809524,2.5,2.5,0,5,41.31880952380952,41.31880952380952,0.0,1735.3899999999999
ALOE SOFT MOISTURIZING CREAM-50 G,एलो सॉफ्ट मॉइस्चराइजिंग क्रीम 50 ग्राम,2026-01-09,2024-04-04,2024-01-10,24,TI54AAA2425,ABHW240001,05AAECK5765H1ZE,33049930,KANHA JI DISTRIBUTORS,file1_2024-2025,1874.08,1588.2033898305085,66.17514124293785,9.0,9.0,0,18,142.93830508474576,142.93830508474576,0.0,1874.08
DIVYA SHILAJEET DROPS 30 ML - T,दिव्य शिलाजीत ड्रॉप्स 30 मि.ली.,2025-12-30,2024-04-04,2024-01-10,20,TI54AAA2425,BSJD240001,05AAECK5765H1ZE,30049011,KANHA JI DISTRIBUTORS,file1_2024-2025,2041.76,1822.9999999999998,91.14999999999999,6.0,6.0,0,12,109.37999999999998,109.37999999999998,0.0,2041.7599999999995
ROSE FACE WASH 60 G,गुलाब फेस वॉश 60 ग्राम,2025-04-09,2024-04-04,2023-10-17,12,TI54AAA2425,AIO2300004,05AAECK5765H1ZE,34013090,KANHA JI DISTRIBUTORS,file1_2024-2025,499.95,423.6864406779661,35.30720338983051,9.0,9.0,0,18,38.13177966101695,38.13177966101695,0.0,499.95
SAUNDARYA ALOEVERA GEL K.CHANDAN 60 ML,सौंदर्य एलोवेरा जेल केसर-चंदन 60 मि.ली.,2025-08-08,2024-04-04,2024-02-15,24,TI54AAA2425,AAHU240004,05AAECK5765H1ZE,33049910,KANHA JI DISTRIBUTORS,file1_2024-2025,1163.62,986.1186440677966,41.088276836158194,9.0,9.0,0,18,88.75067796610169,88.75067796610169,0.0,1163.62
BEAUTY CREAM ADV.- 50 G,ब्यूटी क्रीम एडवांस 50 ग्राम,2025-11-19,2024-04-04,2023-11-20,36,TI54AAA2425,ABED230015,05AAECK5765H1ZE,33049910,KANHA JI DISTRIBUTORS,file1_2024-2025,2648.16,2244.2033898305085,62.33898305084746,9.0,9.0,0,18,201.97830508474578,201.97830508474578,0.0,2648.1600000000003
CRACK HEAL CREAM 50 G,क्रैक हील क्रीम 50 ग्राम,2026-01-11,2024-04-04,2024-01-12,36,TI54AAA2425,AAE2400001,05AAECK5765H1ZE,33049990,KANHA JI DISTRIBUTORS,file1_2024-2025,1672.7,1417.542372881356,39.37617702448211,9.0,9.0,0,18,127.57881355932204,127.57881355932204,0.0,1672.7
Divya Gulab Jal 120 ml-DUP,दिव्य गुलाब जल 120 मि.ली.,2025-01-28,2024-04-04,2024-02-03,30,TI54AAA2425,BGLJ240013,05AAECK5765H1ZE,33030020,KANHA JI DISTRIBUTORS,file1_2024-2025,857.39,726.6016949152543,24.220056497175143,9.0,9.0,0,18,65.39415254237288,65.39415254237288,0.0,857.3900000000001
DRISHTI EYE DROP 10 ML (NEW),दृष्टि नेत्र ड्रॉप 10 मि.ली. (नया),2025-03-18,2024-04-04,2024-03-18,40,TI54AAA2425,AAST240009,05AAECK5765H1ZE,30049011,KANHA JI DISTRIBUTORS,file1_2024-2025,633.02,565.1964285714286,14.129910714285714,6.0,6.0,0,12,33.91178571428571,33.91178571428571,0.0,633.02
KESH KANTI HERBAL MEHANDI (NAT. BLACK)-T,केश कान्ति हर्बल मेहंदी (नेचुरल ब्लैक),2024-12-26,2024-04-04,2024-01-01,20,TI54AAA2425,ANBL240021,05AAECK5765H1ZE,33059090,KANHA JI DISTRIBUTORS,file1_2024-2025,315.77,267.60169491525426,13.380084745762712,9.0,9.0,0,18,24.084152542372884,24.084152542372884,0.0,315.77
BOROSAFE ANTISEPTIC 50 GM CREAM,बोरोज़सेफ एंटीसेप्टिक क्रीम 50 ग्राम,2025-11-24,2024-04-04,2023-12-05,36,TI54AAA2425,AJG2300009,05AAECK5765H1ZE,33049910,KANHA JI DISTRIBUTORS,file1_2024-2025,1254.53,1063.1610169491526,29.532250470809792,9.0,9.0,0,18,95.68449152542372,95.68449152542372,0.0,1254.53
BADAM PAK 250 G,बादाम पाक 250 ग्राम,2026-01-04,2024-04-04,2024-01-05,6,TI54AAA2425,ACX2400001,05AAECK5765H1ZE,30049011,KANHA JI DISTRIBUTORS,file1_2024-2025,688.4,614.6428571428571,102.44047619047619,6.0,6.0,0,12,36.878571428571426,36.878571428571426,0.0,688.3999999999999
BADAM PAK 500 G,बादाम पाक 500 ग्राम,2026-02-08,2024-04-04,2024-02-19,6,TI54AAA2425,ACY2400003,05AAECK5765H1ZE,30049011,KANHA JI DISTRIBUTORS,file1_2024-2025,1305.56,1165.6785714285713,194.2797619047619,6.0,6.0,0,12,69.94071428571428,69.94071428571428,0.0,1305.5599999999997
