original,Very_Short_english_suggestions,final_hindi_name,very_short_simple_hindi_suggestion
AASTHA ASHTAGANDHA -25 GM,ashtagandha,आस्था अष्टगंध 25 ग्राम,अष्टगंध
AASTHA BACKFLOW DHOOP CONE BUDHA-160 GM,buddha dhoop,आस्था बैकफ्लो धूप कोन बुद्ध 160 ग्राम,बुद्ध धूप
AASTHA BACKFLOW DHOOP CONE GUGAL-160 GM,gugal dhoop,आस्था बैकफ्लो धूप कोन गुगल 160 ग्राम,गुगल धूप
AASTHA BACKFLOW DHOOP CONE LOBAN-160 GM,loban dhoop,आस्था बैकफ्लो धूप कोन लोबान 160 ग्राम,लोबान धूप
AASTHA BACKFLOW DHOOPCONE VRINDAVAN-160G,vrindavan dhoop,आस्था बैकफ्लो धूप कोन वृन्दावन 160 ग्राम,वृन्दावन धूप
AASTHA BHIMSENI KAPOOR 25 G,bhimseni kapoor,आस्था भीमसेनी कपूर 25 ग्राम,भीमसेनी कपूर
AASTHA BHIMSENI KAPOOR-200G FREEGANGAJAL,bhimseni kapoor,आस्था भीमसेनी कपूर 200 ग्राम,भीमसेनी कपूर
AASTHA BOUQUET CONE DHOOP - 200 GM,bouquet dhoop,आस्था बुके कोन धूप 200 ग्राम,बुके धूप
AASTHA CAMPHOR 25 GM,camphor,आस्था कपूर 25 ग्राम,कपूर
AASTHA CHAMPA CONE DHOOP - 200 GM,champa dhoop,आस्था चम्पा कोन धूप 200 ग्राम,चम्पा धूप
AASTHA CHANDAN (POUCH)-20G,chandan pouch,आस्था चंदन पाउच 20 ग्राम,चंदन पाउच
AASTHA CHANDAN TIKA  25 GM,chandan tika,आस्था चंदन तिलक 25 ग्राम,चंदन तिलक
AASTHA COTTON WICKS PLAIN 25 GM,cotton wicks plain,आस्था कॉटन बत्ती 25 ग्राम,कॉटन बत्ती
AASTHA GANGAJAL -100 ML,gangajal,आस्था गंगाजल 100 एमएल,गंगाजल
AASTHA GAUMAYA HAWAN KUND -30 N (12PC),gaumaya hawan kund,आस्था गौमय हवन कुंड (30 नग 12 पीस पैक),गौमय हवन
AASTHA GAUMAYA SAMIDHA 12N -T,gaumaya samidha,आस्था गौमय समिधा 12 नग,गौमय समिधा
AASTHA GHEE BATTI - 30N,ghee batti,आस्था घी बत्ती 30 नग,घी बत्ती
AASTHA GUGAL DHOOP -1N,gugal dhoop,आस्था गुगल धूप 1 नग,गुगल धूप
AASTHA GUGAL DRY DHOOP CONE - 20 GM,gugal dhoop,आस्था गुगल ड्राई धूप कोन 20 ग्राम,गुगल धूप
AASTHA HAWAN CUP SAFFRON SANDAL,hawan cup,आस्था हवन कप केसर-चंदन,हवन कप
AASTHA HAWAN STICK SAFFRON SANDAL-20N,hawan stick,आस्था हवन स्टिक केसर-चंदन 20 नग,हवन स्टिक
AASTHA KALAWA -1N,kalawa,आस्था कलावा 1 नग,कलावा
AASTHA KASTURI CONE DHOOP - 200 GM,kasturi dhoop,आस्था कस्तूरी कोन धूप 200 ग्राम,कस्तूरी धूप
AASTHA LAVENDER DRY DHOOP STICK- 200 G,lavender dhoop,आस्था लैवेंडर ड्राई धूप स्टिक 200 ग्राम,लैवेंडर धूप
AASTHA LOBAN DHOOP -1N,loban dhoop,आस्था लोबान धूप 1 नग,लोबान धूप
