canonical_name,EXPDATE,Received Qty,Invoice date,Product_MFG DATE,Actual Purchase Rate,max Rate,Conversion unit,sgstrate,SGST_amount,Invoice No,Supplier State,CGST_amount,cgstrate,Batch,cgst,Item Net Amount,Supplier GST,GST Perc,HSN Code,Taxable amount,,mrp,igst,Supplier Name
एलोवेरा फाइबर जूस 1 लीटर,30-11-2025,12,03-04-2025,05-03-2025,131.604166666667,149.55,PCS,6,94.755,TI26AAA2526,UK,107.676,6,PGD2500073,94.76,1768.77,05AAECK5765H1ZE,12,30049011,1579.25,,210,0,KANHA JI DISTRIBUTORS
गिलोय जूस 500 एमएल,07-03-2026,12,03-04-2025,07-03-2025,64.0908333333333,64.09,PCS,6,46.1454,TI26AAA2526,UK,46.1448,6,PFY2500003,46.14,861.37,05AAECK5765H1ZE,12,30049011,769.08,,90,0,KANHA JI DISTRIBUTORS
गाय का घी 1 लीटर,12-12-2025,15,03-04-2025,17-03-2025,555.31,555.31,PCS,6,499.779,TI26AAA2526,UK,499.779,6,FAWC250088,499.78,9329.21,05AAECK5765H1ZE,12,4059020,8329.65,,675,0,KANHA JI DISTRIBUTORS
तिल का तेल 1 लीटर (बी),21-11-2025,12,03-04-2025,24-02-2025,216.095833333333,227.47,PCS,2.5,64.82875,TI26AAA2526,UK,68.241,2.5,JACQ250023,64.83,2722.81,05AAECK5765H1ZE,5,15155091,2593.16,,280,0,KANHA JI DISTRIBUTORS
बाम फास्ट रिलीफ 25 ग्राम,14-01-2028,6,03-04-2025,14-01-2025,213.64,213.64,PCS,6,76.9104,TI26AAA2526,UK,76.9104,6,ABLW250004,76.91,1435.66,05AAECK5765H1ZE,12,30049011,1281.84,,300,0,KANHA JI DISTRIBUTORS
केश रीठा हेयर क्लींजर 180 एमएल,26-02-2027,12,03-04-2025,26-02-2025,79.4208333333333,86.33,PCS,9,85.7745,TI26AAA2526,UK,93.2364,9,ABTZ250002,85.77,1124.59,05AAECK5765H1ZE,18,33051090,953.04,,120,0,KANHA JI DISTRIBUTORS
केश कांति एडवांस हेयर एक्सपर्ट ऑयल 30 एमएल,27-01-2027,12,03-04-2025,27-01-2025,59.3008333333333,69.76,PCS,9,64.0449,TI26AAA2526,UK,75.3408,9,ABHX250001,64.04,839.69,05AAECK5765H1ZE,18,33059019,711.6,,100,0,KANHA JI DISTRIBUTORS
केश कांति एडवांस हेयर एक्सपर्ट ऑयल 100 एमएल,14-02-2027,12,03-04-2025,24-02-2025,245.560833333333,279.05,PCS,9,265.2057,TI26AAA2526,UK,301.374,9,AATV250002,265.2,3477.13,05AAECK5765H1ZE,18,33059019,2946.72,,400,0,KANHA JI DISTRIBUTORS
एंटी रिंकल क्रीम 50 ग्राम,09-01-2027,24,03-04-2025,09-01-2025,99.2704166666667,107.9,PCS,9,214.4241,TI26AAA2526,UK,233.064,9,AAR2500001,214.42,2811.33,05AAECK5765H1ZE,18,33049910,2382.48,,150,0,KANHA JI DISTRIBUTORS
बोरोसेफ एंटिसेप्टिक क्रीम 50 ग्राम,10-12-2026,24,03-04-2025,20-12-2024,31.0804166666667,32.37,PCS,9,67.1337,TI26AAA2526,UK,69.9192,9,AJG2400006,67.13,880.19,05AAECK5765H1ZE,18,33049910,745.92,,45,0,KANHA JI DISTRIBUTORS
दिव्य स्वासारी प्रवाही 250 एमएल,31-12-2027,20,03-04-2025,15-01-2025,60.0795,63.24,PCS,6,72.0954,TI26AAA2526,UK,75.888,6,BSSP250010,72.1,1345.79,05AAECK5765H1ZE,12,30049011,1201.6,,85,0,KANHA JI DISTRIBUTORS
केश कांति सरसों आँवला हेयर ऑयल 175 एमएल,12-02-2027,24,03-04-2025,22-02-2025,45.2,45.2,PCS,9,97.632,TI26AAA2526,UK,97.632,9,AAVR240003,97.63,1280.06,05AAECK5765H1ZE,18,33059019,1084.8,,60,0,KANHA JI DISTRIBUTORS
केश कांति बादाम हेयर ऑयल 200 एमएल,26-02-2027,24,03-04-2025,26-02-2025,87.9004166666667,93.51,PCS,9,189.8649,TI26AAA2526,UK,201.9816,9,ABQQ250003,189.86,2489.33,05AAECK5765H1ZE,18,33059019,2109.6,,130,0,KANHA JI DISTRIBUTORS
लौहासव 450 एमएल,16-12-2034,20,26-03-2025,06-02-2025,74.4,74.4,PCS,6,89.28,TI6786AAA2425,UK,89.28,6,ABC2500004,89.28,1666.56,05AAECK5765H1ZE,12,30049011,1488,,100,0,KANHA JI DISTRIBUTORS
पारम्परिक गेहूँ का आटा 5 किलो (यूके),07-06-2025,8,26-03-2025,07-02-2025,192.2,192.2,PCS,2.5,38.44,TI6786AAA2425,UK,38.44,2.5,PDBKQ25004,38.44,1614.48,05AAECK5765H1ZE,5,11010000,1537.6,,225,0,KANHA JI DISTRIBUTORS
पारम्परिक गेहूँ का आटा 10 किलो,17-07-2025,5,26-03-2025,19-03-2025,410.022,410.02,PCS,2.5,51.25275,TI6786AAA2425,UK,51.2525,2.5,PDV4250011,51.25,2152.61,05AAECK5765H1ZE,5,11010000,2050.1,,480,0,KANHA JI DISTRIBUTORS
दिव्य अर्जुनारिष्ट 450 एमएल,04-12-2034,20,26-03-2025,25-01-2025,89.7645,115.08,PCS,2.5,44.88225,TI6786AAA2425,UK,57.54,2.5,AJN250005,44.88,1885.05,05AAECK5765H1ZE,5,30049011,1795.28,,145,0,KANHA JI DISTRIBUTORS
दिव्य दशमूलारिष्ट 450 एमएल,18-02-2035,20,26-03-2025,20-02-2025,99.0435,126.98,PCS,2.5,49.52175,TI6786AAA2425,UK,63.49,2.5,DSM250002,49.52,2079.91,05AAECK5765H1ZE,5,30049011,1980.86,,160,0,KANHA JI DISTRIBUTORS
सब्जी मसाला 100 ग्राम,19-02-2026,30,26-03-2025,19-02-2025,42.28,44.51,PCS,2.5,31.71,TI6786AAA2425,UK,33.3825,2.5,AFI2500006,31.71,1331.82,05AAECK5765H1ZE,5,9109100,1268.4,,65,0,KANHA JI DISTRIBUTORS
दलिया 500 ग्राम,19-06-2025,30,26-03-2025,19-02-2025,27.6196666666667,27.62,PCS,2.5,20.71475,TI6786AAA2425,UK,20.715,2.5,PDCS250048,20.72,870.03,05AAECK5765H1ZE,5,11031900,828.6,,34,0,KANHA JI DISTRIBUTORS
आँवला जूस 1 लीटर,25-02-2026,12,26-03-2025,25-02-2025,87.7366666666667,99.7,PCS,6,63.1704,TI6786AAA2425,UK,71.784,6,AGH2500038,63.17,1179.18,05AAECK5765H1ZE,12,30049011,1052.84,,140,0,KANHA JI DISTRIBUTORS
करेला-जामुन जूस 500 एमएल,11-03-2026,12,26-03-2025,11-03-2025,106.82,106.82,PCS,6,76.9104,TI6786AAA2425,UK,76.9104,6,ABPB250005,76.91,1435.66,05AAECK5765H1ZE,12,30049011,1281.84,,150,0,KANHA JI DISTRIBUTORS
राइस ब्रान तेल 1 लीटर (पाउच),13-12-2025,12,26-03-2025,18-03-2025,142.380833333333,142.38,PCS,2.5,42.71425,TI6786AAA2425,UK,42.714,2.5,ORE2500019,42.71,1793.99,05AAECK5765H1ZE,5,15159040,1708.56,,165,0,KANHA JI DISTRIBUTORS
फोर्टिफाइड सूरजमुखी तेल 1 लीटर (पाउच),25-11-2025,12,26-03-2025,28-02-2025,149.610833333333,149.61,PCS,2.5,44.88325,TI6786AAA2425,UK,44.883,2.5,BR2A250007,44.88,1885.09,05AAECK5765H1ZE,5,15121910,1795.32,,175,0,KANHA JI DISTRIBUTORS
साबूदाना 500 ग्राम,09-09-2025,20,26-03-2025,13-03-2025,56.8695,56.87,PCS,2.5,28.43475,TI6786AAA2425,UK,28.435,2.5,AALX250012,28.44,1194.27,05AAECK5765H1ZE,5,19030000,1137.4,,70,0,KANHA JI DISTRIBUTORS
पोहा 1 किलो,13-08-2025,20,26-03-2025,14-02-2025,70.76,70.76,PCS,2.5,35.38,TI6786AAA2425,UK,35.38,2.5,BPRP250012,35.38,1485.96,05AAECK5765H1ZE,5,19041020,1415.2,,85,0,KANHA JI DISTRIBUTORS
दिव्य गोखुरु काढ़ा 100 ग्राम (जार),10-02-2027,10,26-03-2025,20-02-2025,59.52,59.52,PCS,6,35.712,TI6786AAA2425,UK,35.712,6,AGKK250007,35.71,666.62,05AAECK5765H1ZE,12,30049011,595.2,,80,0,KANHA JI DISTRIBUTORS
अश्वशिला 11 ग्राम (स्ट्रिप),17-01-2027,20,26-03-2025,27-01-2025,64.093,71.21,PCS,6,76.9116,TI6786AAA2425,UK,85.452,6,AASP250005,76.91,1435.68,05AAECK5765H1ZE,12,30049011,1281.86,,100,0,KANHA JI DISTRIBUTORS
अश्वगंधा 11 ग्राम (स्ट्रिप),05-01-2027,20,26-03-2025,15-01-2025,57.6825,64.09,PCS,6,69.219,TI6786AAA2425,UK,76.908,6,AASZ250005,69.22,1292.09,05AAECK5765H1ZE,12,30049011,1153.65,,90,0,KANHA JI DISTRIBUTORS
