original,Very_Short_english_suggestions,final_hindi_name,very_short_simple_hindi_suggestion
GILOY JUICE 500 ML,giloy juice,गिलोय जूस 500 एमएल,गिलोय जूस
NAVRATNA ATTA 2 KG,navratna atta,नवरत्न आटा 2 किलो,नवरत्न आटा
DIVYA TRIPHALA GUGGUL- 40 TAB,triphala guggul,त्रिफला गुग्गुल 40 टैबलेट,त्रिफला गुग्गुल
SABZI MASALA 100 GM (30 pcs),sabzi masala,सब्जी मसाला 100 ग्राम,सब्जी मसाला
BANDHANI HING 50 GM (NEW) - T,bandhani hing,बंधनी हींग 50 ग्राम (नया),बंधनी हींग
MADHURAM 1 KG,madhuram,मधुरम 1 किलो,मधुरम
MURMURA 500 GM - T,murmura,मुरमुरा 500 ग्राम,मुरमुरा
AASTHA DASANGAM 50 GM,dasangam,दसांगम 50 ग्राम,दसांगम
AASTHA COWS GHEE 200 ML - T,cows ghee,गाय का घी 200 एमएल,गाय का घी
AASTHA COWS GHEE 100 ML - T,cows ghee,गाय का घी 100 एमएल,गाय का घी
AASTHA DIVYA HAWAN SAMAGRI 500 GM -T,hawan samagri,हवन सामग्री 500 ग्राम,हवन सामग्री
HONEY 500 G,honey,शहद 500 ग्राम,शहद
FIG (ANJEER) 250 GM (MONO),fig anjeer,अंजीर 250 ग्राम,अंजीर
DIVYA GULAB JAL 120 ML - T (90 PC),gulab jal,गुलाब जल 120 एमएल,गुलाब जल
BALM FAST RELIEF 25G DISPN.T.O(5+1)FREE,balm fast relief,बाम फास्ट रिलीफ 25 ग्राम,बाम फास्ट रिलीफ
HONEY 1 KG,honey,शहद 1 किलो,शहद
MOONG CHILKA 1000 GM (R1),moong chilka,मूंग छिलका 1 किलो,मूंग छिलका
DIVYA ARSHOGRIT 3 U X 20 N,arshogrit,अर्शोगृत 60 टैबलेट,अर्शोगृत
KESHKANTI HAIRCLN.NATURAL RS1 FREE 96 No,hair cleanser,केशकांति हेयर क्लींजर नैचुरल,हेयर क्लींजर
Pushyanug Churna 100 Gm,pushyanug churna,पुष्यानुग चूर्ण 100 ग्राम,पुष्यानुग चूर्ण
LOHASAV 450 ML,lohasav,लौहासव 450 एमएल,लौहासव
BADAM PAK 500 G,badam pak,बादाम पाक 500 ग्राम,बादाम पाक
,,,
,Very_Short_english_suggestions,final_hindi_name,very_short_simple_hindi_suggestion
